Detected CPU features: mmx sse sse2 sse3 ssse3 sse4.1 sse4.2 popcnt avx avx2
bpp v4.8.7_macos_x86_64, 128GB RAM, 36 cores
https://github.com/bpp/bpp

Auto-selected SIMD ISA: AVX2


Starting timer..
Seed: 309982741 (randomly generated)
Parsing species tree... Done
Parsing phylip file... Done

Summary of alignments *before* phasing sequences:
 Locus | Model | Sequences | Length | Ambiguous sites | Compressed | Base freqs 
-------+-------+-----------+--------+-----------------+------------+------------
     1 |  JC69 |        19 |    155 |               2 |          3 |      Fixed 
     2 |  JC69 |         4 |    154 |               0 |          1 |      Fixed 
     3 |  JC69 |         2 |    142 |              17 |          4 |      Fixed 
     4 |  JC69 |        20 |    562 |             235 |         16 |      Fixed 
     5 |  JC69 |        18 |    381 |              19 |         12 |      Fixed 
     6 |  JC69 |        20 |    198 |              92 |          2 |      Fixed 
     7 |  JC69 |        20 |    143 |               1 |          2 |      Fixed 
     8 |  JC69 |         2 |     62 |               0 |          1 |      Fixed 
     9 |  JC69 |        20 |     66 |               4 |          3 |      Fixed 
    10 |  JC69 |        16 |     87 |               2 |          3 |      Fixed 
    11 |  JC69 |        20 |    741 |              73 |         18 |      Fixed 
    12 |  JC69 |         5 |    397 |             122 |          5 |      Fixed 
    13 |  JC69 |        10 |    231 |              92 |          9 |      Fixed 
    14 |  JC69 |        20 |    187 |               1 |          2 |      Fixed 
    15 |  JC69 |        16 |     74 |               1 |          2 |      Fixed 
    16 |  JC69 |         5 |    109 |               0 |          1 |      Fixed 
    17 |  JC69 |         7 |    204 |               3 |          3 |      Fixed 
    18 |  JC69 |        19 |    629 |             519 |         17 |      Fixed 
    19 |  JC69 |        20 |    292 |              89 |         21 |      Fixed 
    20 |  JC69 |         6 |    434 |             168 |         11 |      Fixed 
    21 |  JC69 |        15 |    156 |               1 |          2 |      Fixed 
    22 |  JC69 |        20 |    432 |             125 |         11 |      Fixed 
    23 |  JC69 |        17 |     84 |               2 |          3 |      Fixed 
    24 |  JC69 |        19 |    186 |               4 |          5 |      Fixed 
    25 |  JC69 |        17 |    409 |             169 |         19 |      Fixed 
    26 |  JC69 |        14 |    130 |               1 |          3 |      Fixed 
    27 |  JC69 |        19 |     56 |               1 |          2 |      Fixed 
    28 |  JC69 |        18 |    235 |               6 |          5 |      Fixed 
    29 |  JC69 |        16 |    113 |               4 |          4 |      Fixed 
    30 |  JC69 |        16 |    288 |              20 |         19 |      Fixed 
    31 |  JC69 |         3 |    268 |               5 |          5 |      Fixed 
    32 |  JC69 |        18 |    493 |             230 |         14 |      Fixed 
    33 |  JC69 |        16 |     82 |               1 |          2 |      Fixed 
    34 |  JC69 |        18 |    485 |             485 |         22 |      Fixed 
    35 |  JC69 |         2 |    199 |               0 |          1 |      Fixed 
    36 |  JC69 |        20 |    225 |               6 |          6 |      Fixed 
    37 |  JC69 |        19 |    502 |             354 |         18 |      Fixed 
    38 |  JC69 |         9 |    279 |               1 |          2 |      Fixed 
    39 |  JC69 |        11 |    230 |               3 |          4 |      Fixed 
    40 |  JC69 |         7 |    281 |             117 |         13 |      Fixed 
    41 |  JC69 |         7 |    212 |              17 |          7 |      Fixed 
    42 |  JC69 |         7 |    406 |             134 |          7 |      Fixed 
    43 |  JC69 |         5 |    275 |              65 |         11 |      Fixed 
    44 |  JC69 |        10 |    141 |              36 |         15 |      Fixed 
    45 |  JC69 |        19 |    294 |               3 |          4 |      Fixed 
    46 |  JC69 |         3 |    273 |               5 |          5 |      Fixed 
    47 |  JC69 |        19 |    278 |               8 |          6 |      Fixed 
