chromosome,theta_ajan,theta_alas,theta_R,tau_R,W_ajan_to_alas,W_alas_to_ajan
ch1,0.00775191808,0.00909450528,0.00312194378,5.0758784e-4,354.25212040388,704.0553088056
ch2,0.00514907714,0.00690321738,0.00324898302,7.5964238e-4,394.28507146416,653.26387392516
ch3,0.0070065882,0.00806023984,0.00326632736,6.3712126e-4,690.48138848656,658.37063199776
ch4,0.00685977052,0.0101965533,0.00352509714,5.6236228e-4,417.1387729667,1192.76206010774
ch5,0.00637325904,0.00811242926,0.00329948964,5.729294e-4,728.15609002974,771.86304174018
ch6,0.00718033758,0.0108134556,0.003373695,5.1674482e-4,1373.90937672966,1447.88909736956
ch7,0.00746452176,0.0073036575,0.0034379244,6.2057358e-4,596.96257134052,217.54999489216
ch8,0.00811689452,0.01002898252,0.00364058468,4.889371e-4,848.73565855616,786.98694366158
ch9,0.00569416528,0.00845283732,0.00311534774,6.0249078e-4,539.75570256022,582.97722524088
