Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
20	10015.0	75.17402	11835.2	106.36498	23876.5	73.85060	4022.0	9.38	5044.0	8.10
40	10052.0	75.04575	11838.2	106.40150	23836.5	73.77458	4042.0	9.38	5016.0	8.12
60	9599.4	76.89415	12186.3	111.67953	23941.4	73.25190	4009.0	9.83	5545.0	8.38
80	10375.1	79.11896	11702.7	112.63946	23649.5	73.61411	4304.0	9.99	5109.0	8.64
100	10474.9	77.29503	11372.9	112.20298	23879.5	73.19784	4422.0	9.85	4998.0	8.45
120	10623.7	75.19863	11460.5	107.80889	23642.5	73.82222	4387.0	9.50	4835.0	8.20
140	10121.9	74.38858	11946.1	105.45233	23658.4	72.11814	3972.0	9.36	5064.0	8.08
160	10284.1	78.86468	11598.4	107.99338	23844.5	73.35369	4178.0	9.62	4764.0	8.46
180	9963.5	81.38517	11594.5	108.01133	24169.5	75.38095	4385.0	9.59	4797.0	8.62
200	9732.6	80.26756	11832.9	102.52660	24161.5	74.58655	4022.0	9.19	4520.0	8.42
220	9736.8	82.22642	11947.9	103.65694	24042.5	75.55198	4074.0	9.33	4481.0	8.63
240	9894.5	80.34101	12020.0	105.07876	23812.5	74.29730	4149.0	9.42	4789.0	8.49
260	9984.3	78.18283	12246.6	100.46902	23495.4	71.71933	3899.0	9.14	4523.0	8.33
280	10188.1	77.37454	12191.6	100.71823	23346.5	72.56838	4042.0	9.17	4654.0	8.28
300	10060.2	78.03106	11522.5	108.68417	24144.5	75.21381	3976.0	9.56	4585.0	8.37
320	9942.3	77.81695	11844.1	105.48520	23940.5	75.04706	3507.0	9.40	4290.0	8.33
340	10236.0	76.26981	11885.0	104.62921	23605.4	72.09609	3694.0	9.33	4404.0	8.22
360	9790.5	79.65201	11957.0	104.20186	23979.5	76.25435	3904.0	9.32	4579.0	8.44
380	10053.2	77.93595	11534.1	101.73738	24139.6	79.64287	3973.0	9.08	4208.0	8.22
400	10008.6	82.90184	11403.2	103.12947	24315.5	75.40064	4251.0	9.26	4200.0	8.61
420	10109.3	79.71841	11359.2	102.21977	24258.6	79.56931	4069.0	9.11	4118.0	8.36
440	9974.2	77.62353	11536.4	106.82395	24216.6	78.35611	3731.0	9.41	4445.0	8.30
460	10017.9	73.99106	11930.9	102.55530	23777.6	77.87746	3821.0	9.11	4660.0	7.98
480	9451.4	75.20599	12064.9	103.81746	24210.5	75.28079	3620.0	9.16	4924.0	8.01
500	9607.3	75.41531	11591.1	102.78554	24528.5	76.46127	3949.0	9.02	4923.0	7.96
520	9552.2	73.73582	12009.1	107.25256	24165.4	73.77439	3665.0	9.35	5143.0	7.98
540	9810.2	76.52728	12083.9	103.95008	23832.5	74.58349	3946.0	9.25	4909.0	8.19
560	9440.6	77.52571	11763.9	101.05483	24522.5	77.12064	4180.0	8.95	4977.0	8.08
580	9498.7	79.64458	12431.6	101.88799	23796.6	78.13367	4267.0	9.21	5352.0	8.37
600	9591.5	77.50876	12386.5	100.32960	23748.6	76.59108	4317.0	9.11	5200.0	8.25
620	9761.4	77.67218	12439.4	99.05275	23525.5	73.78349	4293.0	9.02	5025.0	8.27
640	10517.8	75.63147	12229.5	99.79026	22978.5	71.83669	4352.0	9.13	4839.0	8.21
660	9994.1	76.22269	12382.8	105.20620	23349.5	73.83962	4224.0	9.45	5245.0	8.31
680	10266.1	78.17721	12328.8	105.11900	23131.5	71.64578	4235.0	9.55	5039.0	8.48
700	10151.5	83.09078	12419.7	104.54863	23155.4	68.55653	4288.0	9.63	4739.0	8.89
720	10280.4	82.40361	12258.8	104.60924	23187.4	69.55728	4730.0	9.62	5123.0	8.82
740	10232.5	82.62752	11563.9	100.21119	23930.5	73.52969	5074.0	9.11	4832.0	8.58
760	10230.3	80.94331	11303.2	101.88211	24193.4	73.56638	4874.0	9.15	4737.0	8.44
780	9953.6	82.62031	11395.3	104.04510	24378.4	74.07289	4692.0	9.34	4844.0	8.61
800	10187.1	77.92024	11499.2	103.15360	24040.5	74.69848	4634.0	9.17	4972.0	8.24
820	9934.5	80.70037	11297.5	106.45756	24495.5	77.30431	4487.0	9.41	4847.0	8.47
840	9969.0	74.76945	11426.4	106.36505	24331.5	77.39281	4440.0	9.31	5291.0	8.03
860	10248.0	76.26611	11325.5	106.27009	24153.5	75.99037	4374.0	9.32	4873.0	8.16
880	10253.0	76.67815	11779.3	107.60038	23694.5	74.16702	4164.0	9.52	4811.0	8.31
900	10184.9	74.89266	11804.1	104.23821	23737.6	75.98843	4489.0	9.26	5223.0	8.06
920	9967.1	76.17606	11807.9	101.92008	23951.5	75.16617	4500.0	9.11	5230.0	8.12
940	9832.4	78.19953	12086.8	103.51087	23807.5	74.14705	4387.0	9.32	5224.0	8.33
960	9927.3	78.48683	12055.2	107.79977	23744.5	74.35213	4694.0	9.60	5771.0	8.41
980	9671.2	74.60533	11785.3	106.85516	24270.5	74.95300	4759.0	9.34	6069.0	7.99
1000	9692.5	78.38471	11759.3	107.48127	24275.5	76.24959	5068.0	9.47	6053.0	8.33
1020	10200.2	78.47355	11593.4	106.64004	23933.5	75.79834	4845.0	9.48	5333.0	8.38
1040	10312.3	81.61446	11885.2	107.02284	23529.4	71.17189	5032.0	9.65	5379.0	8.73
1060	10082.5	82.05504	12229.3	111.02840	23415.4	69.68376	4697.0	9.98	5487.0	8.87
1080	10041.3	78.78197	12533.6	103.74762	23151.4	69.63276	5152.0	9.51	6054.0	8.53
1100	10591.3	83.21238	12605.5	101.71802	22529.5	69.28633	5614.0	9.58	5843.0	8.95
1120	10905.0	81.17539	12160.6	100.80528	22660.5	70.45833	5711.0	9.39	5512.0	8.77
1140	10825.1	82.23642	12205.7	101.74284	22695.5	69.96012	5603.0	9.50	5577.0	8.81
1160	10563.4	84.01250	12086.9	104.50960	23076.4	69.97359	5435.0	9.65	5456.0	8.93
1180	10295.2	79.89191	12790.4	102.53642	22640.4	68.75927	5000.0	9.56	5809.0	8.67
1200	10644.0	79.62214	12000.7	101.24163	23081.5	72.26987	5323.0	9.29	5298.0	8.54
1220	10396.6	85.19501	11673.1	103.92270	23657.4	72.33562	5387.0	9.50	5146.0	8.93
1240	10080.5	81.89963	12285.4	98.13293	23360.4	70.71363	5148.0	9.11	5332.0	8.62
1260	10291.4	82.37221	12232.5	99.04707	23202.5	73.74578	5404.0	9.21	5404.0	8.69
1280	10316.5	83.72344	11975.6	98.48829	23434.4	71.72981	5437.0	9.10	5145.0	8.73
1300	10360.5	84.57631	12243.1	94.13908	23122.5	71.02213	5341.0	8.92	5000.0	8.78
1320	10544.6	86.40505	12388.5	100.49334	22793.4	68.90675	5337.0	9.49	5159.0	9.13
1340	10439.5	84.46395	11880.6	97.58623	23406.4	70.00647	5539.0	9.11	5005.0	8.80
1360	10788.1	82.82153	11886.7	98.89223	23051.4	70.43175	5464.0	9.20	4939.0	8.75
1380	10596.2	82.47777	11857.9	102.56949	23272.4	70.70017	5295.0	9.42	5235.0	8.75
1400	10683.1	82.15160	11826.8	100.17950	23216.5	72.05207	5289.0	9.27	4945.0	8.73
1420	10713.1	82.15722	11744.8	99.59234	23268.5	72.50774	5295.0	9.21	4872.0	8.67
1440	10249.5	83.29897	11949.4	95.47012	23527.5	73.33141	5544.0	8.87	5175.0	8.57
1460	10685.4	85.29079	12226.5	98.80801	22814.4	69.11692	5168.0	9.34	4842.0	9.00
1480	10401.6	86.23444	12119.7	101.64221	23205.4	69.42595	4766.0	9.47	4621.0	9.05
1500	10520.6	87.22005	11988.8	102.09514	23217.4	70.62568	4984.0	9.51	4612.0	9.12
1520	10394.6	85.17820	12027.7	100.55620	23304.4	68.53065	4751.0	9.33	4495.0	8.91
1540	10213.5	83.47576	12512.3	98.02306	23000.5	71.62432	4563.0	9.21	4712.0	8.79
1560	10562.4	84.45043	12158.7	101.22451	23005.5	72.46389	4641.0	9.43	4516.0	8.95
1580	10614.1	80.53117	11769.8	99.82602	23342.4	69.51824	4780.0	9.19	4563.0	8.55
1600	10506.4	83.81771	11737.8	99.15563	23482.4	71.02715	5179.0	9.18	4727.0	8.75
1620	10979.0	82.89359	11856.8	101.29968	22890.5	71.16926	5021.0	9.41	4592.0	8.82
1640	10831.1	82.23647	11759.9	101.69040	23135.6	74.36484	5268.0	9.37	4836.0	8.76
1660	10224.4	82.00806	12211.3	96.18966	23290.5	72.17385	5108.0	8.96	5017.0	8.58
1680	10921.7	77.39249	11723.3	93.05276	23080.5	71.91881	5262.0	8.67	4671.0	8.22
1700	10970.9	80.78291	11638.7	97.15383	23116.5	72.35565	5127.0	9.00	4419.0	8.52
1720	11075.8	81.01475	11563.6	95.95602	23086.5	71.86555	5181.0	8.91	4219.0	8.54
1740	10894.1	83.42527	11453.1	101.00413	23379.4	69.94869	5135.0	9.30	4387.0	8.81
1760	10824.2	83.72082	11484.0	100.33309	23418.5	73.03434	4990.0	9.21	4188.0	8.76
1780	10877.4	86.72883	11161.1	98.87826	23688.5	72.86866	5310.0	9.15	3993.0	8.94
1800	11084.4	88.38412	11130.2	100.01917	23512.4	71.16819	5368.0	9.31	3805.0	9.17
1820	10946.7	91.49099	11047.9	95.73580	23732.4	72.43100	5606.0	9.04	3761.0	9.23
1840	11281.5	91.98829	10848.1	95.78768	23597.4	71.93704	6156.0	9.02	3908.0	9.28
1860	11008.3	87.27963	11343.6	93.98039	23374.6	74.81314	5846.0	8.86	4322.0	8.94
1880	10668.2	83.04897	11345.3	89.32920	23712.5	74.78330	5759.0	8.38	4398.0	8.45
1900	10582.3	83.79368	11755.0	88.79087	23388.7	77.52500	5334.0	8.44	4277.0	8.53
1920	10875.3	85.79559	11614.8	98.25158	23236.5	73.15889	5385.0	9.19	4339.0	8.96
1940	11001.2	85.03178	11673.7	97.87272	23051.5	70.63088	5527.0	9.17	4485.0	8.93
1960	11050.3	86.86306	11574.7	97.15966	23101.4	69.80186	5589.0	9.15	4322.0	9.02
1980	10857.3	85.72433	11574.5	94.44984	23294.4	70.66786	5840.0	8.95	4739.0	8.87
2000	11163.2	86.08807	11455.0	100.50620	23108.5	71.29242	5916.0	9.37	4744.0	9.03
2020	11356.9	83.60278	11668.7	97.74804	22700.5	70.41032	5851.0	9.19	4805.0	8.88
2040	11615.9	86.09590	11228.1	99.59671	22882.4	68.26712	6054.0	9.35	4658.0	9.06
2060	11169.0	83.47068	11528.7	96.00396	23028.5	70.64803	5510.0	9.03	4419.0	8.77
2080	11105.3	87.47614	11252.8	95.78929	23368.5	73.36814	5779.0	9.05	4184.0	9.06
2100	11101.2	85.87021	11380.5	92.53254	23244.5	71.66755	5767.0	8.76	4207.0	8.84
2120	11279.8	81.24750	11188.9	95.99453	23257.5	73.14372	5285.0	8.92	4019.0	8.55
2140	11061.2	85.38397	10801.6	102.21136	23864.4	70.31913	5423.0	9.31	4206.0	8.87
2160	10949.3	85.93301	11427.9	98.83527	23349.4	71.07191	5274.0	9.19	4244.0	8.94
2180	10977.9	81.37047	11179.1	98.55829	23569.4	71.64979	5230.0	9.03	4339.0	8.55
2200	10611.0	79.65049	11487.8	97.18901	23627.5	73.90157	5148.0	8.87	4627.0	8.33
2220	10291.6	85.05455	11402.8	96.25982	24032.5	75.95463	5218.0	8.87	4377.0	8.71
2240	10574.3	83.57410	11598.5	94.34311	23553.4	70.95994	5293.0	8.80	4474.0	8.62
