Gen	theta:1:ajan	theta:2:alas	theta:3:R	tau:3:R	W:1->2:ajan->alas	W:2->1:alas->ajan	lnL
20	0.007774	0.009105	0.003173	0.000519	411.125792	609.857485	-729947.955
40	0.007333	0.008974	0.003110	0.000506	423.463283	616.641075	-729969.906
60	0.008060	0.009102	0.003062	0.000528	403.539174	657.973559	-730002.535
80	0.007439	0.009362	0.002994	0.000527	448.062760	609.061188	-730069.900
100	0.007351	0.009774	0.003024	0.000531	456.913899	591.620728	-730136.999
120	0.006992	0.009543	0.003118	0.000514	460.792544	587.677065	-730018.646
140	0.007397	0.008934	0.003084	0.000515	424.507102	615.831802	-729957.536
160	0.007578	0.009303	0.003087	0.000524	431.666868	565.366037	-730026.139
180	0.007978	0.009034	0.003035	0.000510	483.141992	570.531786	-730240.422
200	0.008245	0.008763	0.003105	0.000507	436.519772	542.792698	-730013.427
220	0.008492	0.008697	0.003140	0.000518	433.120179	516.151119	-730082.343
240	0.008023	0.008842	0.003136	0.000519	445.016025	558.865728	-730010.728
260	0.008186	0.008530	0.003214	0.000532	400.519958	527.320162	-729870.349
280	0.007862	0.008712	0.003187	0.000524	432.346173	534.965854	-729965.550
300	0.007869	0.009379	0.003130	0.000516	417.537225	554.381733	-729961.786
320	0.007851	0.008891	0.003090	0.000513	370.571179	511.629382	-730146.213
340	0.007625	0.008941	0.003088	0.000525	390.368157	514.156280	-729951.335
360	0.008201	0.008772	0.003186	0.000514	411.348269	531.815648	-730007.411
380	0.007744	0.008673	0.003253	0.000491	445.403465	513.228559	-729777.680
400	0.008218	0.008964	0.003112	0.000513	452.046013	489.000608	-730040.148
420	0.007776	0.008741	0.003191	0.000490	445.059874	514.447490	-729953.348
440	0.007484	0.008962	0.003146	0.000495	408.331113	546.661953	-730050.199
460	0.007461	0.008515	0.003274	0.000497	416.509671	584.519767	-729844.011
480	0.007968	0.008729	0.003070	0.000494	405.005411	608.717986	-729930.292
500	0.007827	0.008993	0.003169	0.000490	418.121339	617.956657	-729986.803
520	0.008062	0.009173	0.003115	0.000509	389.072888	624.406121	-730007.131
540	0.007975	0.008885	0.003218	0.000516	418.376357	577.307950	-729966.624
