Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
20	6286.1	48.33278	10185.1	103.77351	17910.8	62.39945	2351.0	8.63	6057.0	5.85
40	6142.5	50.11690	9832.6	106.09035	18407.7	61.95181	2406.0	8.72	5944.0	5.97
60	6647.6	46.59482	9827.4	103.04222	17906.8	61.68866	2249.0	8.50	5608.0	5.68
80	6619.6	46.74672	9915.2	101.47681	17846.7	60.71801	2476.0	8.42	5818.0	5.71
100	6518.5	45.01683	9753.9	96.75301	18108.9	66.20548	2487.0	8.02	5745.0	5.45
120	6134.9	45.09449	9772.5	103.31624	18474.9	66.04185	2283.0	8.34	6068.0	5.49
140	6072.2	46.95199	9276.9	102.81216	19034.0	71.06139	2281.0	8.23	5803.0	5.53
160	5905.2	45.82460	9671.3	99.85416	18805.9	67.84854	2314.0	8.06	6204.0	5.42
180	6111.9	44.89547	9574.6	103.33633	18695.8	65.76592	2440.0	8.27	6323.0	5.41
200	6241.8	45.26391	9366.7	101.57612	18773.9	67.33523	2385.0	8.17	6028.0	5.40
220	6231.6	43.71184	9354.8	102.91558	18795.9	68.41158	2294.0	8.18	6114.0	5.29
240	6247.5	43.00557	9449.8	104.08060	18685.0	69.98244	1982.0	8.25	5849.0	5.28
260	6329.6	44.63570	8976.5	106.97302	19077.0	70.45471	1763.0	8.39	5391.0	5.40
280	6248.1	47.96518	8942.3	104.52314	19192.8	68.03518	1923.0	8.30	5162.0	5.64
300	6313.9	46.97533	8808.3	102.67575	19260.9	69.46749	1973.0	8.15	5022.0	5.54
320	5957.9	44.20063	8693.3	101.53301	19731.8	69.63407	1781.0	7.88	5348.0	5.19
340	5999.8	43.77704	9083.6	97.82568	19299.0	73.53653	1824.0	7.74	5447.0	5.16
360	5937.9	43.66370	8865.8	97.56829	19578.9	72.03724	1938.0	7.68	5488.0	5.12
380	5951.0	44.64822	8919.6	106.74486	19512.9	71.05429	1991.0	8.28	5881.0	5.34
400	6012.9	44.19894	8839.5	105.31611	19530.9	71.77021	1935.0	8.15	5716.0	5.26
420	6108.7	43.65534	8398.3	97.65519	19875.8	70.17588	2112.0	7.61	5272.0	5.12
440	5693.3	45.03556	8758.9	97.19902	19931.0	74.78352	1873.0	7.59	5360.0	5.20
460	5892.1	44.77762	8786.7	95.86235	19704.0	74.89266	1921.0	7.56	5312.0	5.16
480	5967.2	46.64596	9006.1	102.63718	19410.0	72.76880	1662.0	8.08	5238.0	5.45
500	6054.0	45.09826	8592.8	105.17002	19737.0	73.24529	1781.0	8.14	5398.0	5.34
520	6174.7	44.21699	8791.0	98.44730	19416.8	68.51386	1738.0	7.78	5132.0	5.21
540	6064.0	45.67532	8798.0	98.93430	19520.9	70.90218	1763.0	7.82	4991.0	5.32
560	5959.4	47.33190	8540.3	99.77019	19884.0	75.27135	1716.0	7.85	4806.0	5.42
580	5851.6	48.10626	8808.2	101.55441	19723.9	70.63158	1671.0	8.02	4937.0	5.53
600	5949.4	47.57026	9091.4	95.95136	19341.8	68.37097	1862.0	7.72	5047.0	5.45
620	6019.6	49.33640	9058.7	98.07328	19304.9	70.00915	1973.0	7.91	4976.0	5.63
640	6163.4	49.37958	9197.5	98.19112	19021.9	69.29252	2014.0	7.98	4953.0	5.69
660	6140.6	50.95887	9009.7	97.97030	19232.9	70.83457	2001.0	7.98	4727.0	5.80
680	6183.1	47.00563	8904.5	95.15682	19294.9	70.41549	2010.0	7.65	4925.0	5.41
700	6215.9	45.95326	8631.1	98.33494	19535.9	71.92221	1838.0	7.79	4812.0	5.35
720	6165.1	46.69194	8777.1	99.58518	19440.9	69.77019	1762.0	7.92	4913.0	5.44
740	6102.1	46.65484	8734.9	97.33354	19545.9	71.59788	1986.0	7.71	4919.0	5.38
760	6201.7	44.28284	8847.1	100.32764	19334.0	71.72850	1884.0	7.87	5131.0	5.25
780	5852.2	45.44147	8824.2	101.78711	19707.0	73.86740	1948.0	7.95	5634.0	5.29
800	5991.1	46.06554	9122.7	99.69994	19268.9	71.02721	2037.0	7.97	5483.0	5.40
820	6195.9	46.05460	8642.3	100.13465	19545.0	73.82497	1926.0	7.94	5069.0	5.39
840	6147.1	47.05188	9413.5	99.92090	18822.1	72.34550	2166.0	8.08	5473.0	5.56
860	6100.8	52.04603	9348.5	99.07695	18933.9	69.55994	2190.0	8.19	5149.0	5.95
880	6227.0	47.02548	9372.2	96.65232	18782.9	67.68962	2392.0	7.88	5484.0	5.51
900	6155.0	45.92353	9100.0	101.92748	19128.0	70.84449	2142.0	8.09	5578.0	5.42
920	5973.2	45.96225	9215.7	99.69706	19193.8	68.15313	2144.0	7.93	5588.0	5.39
940	6276.1	47.55309	9214.5	98.36473	18892.0	70.64378	2407.0	7.97	5467.0	5.54
960	6149.3	48.07593	9387.7	102.15946	18845.9	68.42779	2369.0	8.23	5681.0	5.64
980	6152.0	46.37503	9689.2	98.84872	18540.9	67.08425	2184.0	8.04	5646.0	5.50
1000	6101.2	47.52916	9292.7	101.05908	18988.8	66.83846	2110.0	8.10	5409.0	5.56
1020	6477.6	45.71760	9486.1	95.72237	18417.8	63.41582	1915.0	7.89	5089.0	5.45
1040	6470.9	48.07710	9999.9	99.07970	17910.7	60.96023	2038.0	8.28	5386.0	5.74
1060	6751.9	49.63425	9714.4	101.82597	17915.8	63.35367	2586.0	8.51	5533.0	5.95
1080	6425.9	47.51722	9896.2	101.57843	18059.9	65.27193	2361.0	8.40	5743.0	5.73
1100	6414.9	46.94355	9560.4	100.94070	18406.8	64.56364	2256.0	8.27	5557.0	5.63
1120	6338.1	48.57751	9334.0	105.29485	18710.9	66.87614	2581.0	8.49	5852.0	5.77
1140	6391.8	46.23188	9492.7	103.31403	18497.9	65.98130	2397.0	8.36	5870.0	5.58
1160	6566.8	47.74037	9065.7	98.39586	18749.9	68.55726	2791.0	8.04	5605.0	5.60
1180	6246.0	47.24320	9198.4	96.12337	18937.8	67.04781	2599.0	7.82	5625.0	5.47
1200	6370.0	48.10271	9460.5	101.04608	18551.9	67.53883	2709.0	8.26	5835.0	5.71
1220	6435.9	47.14756	9263.7	100.97387	18682.8	64.89518	2882.0	8.18	5999.0	5.60
1240	6032.5	49.33274	9492.6	102.36516	18857.8	65.38155	2594.0	8.29	5884.0	5.78
1260	6152.4	49.56086	9578.7	103.93316	18651.8	65.96206	2650.0	8.49	6055.0	5.86
1280	6129.3	48.08436	9329.6	100.08445	18923.9	67.87597	2519.0	8.11	5702.0	5.61
1300	6324.8	45.98457	9227.9	102.93960	18829.9	68.16171	2390.0	8.25	5872.0	5.50
1320	6691.9	49.16857	9811.5	103.83510	17878.8	62.81152	2527.0	8.63	5619.0	5.94
1340	6637.0	49.83833	10057.0	100.63740	17687.8	62.71521	2701.0	8.47	5744.0	5.96
1360	7042.8	50.91881	9776.4	102.56792	17562.8	60.42270	3045.0	8.67	5705.0	6.13
1380	6910.5	47.88803	9759.4	101.98628	17711.8	61.28726	3067.0	8.54	6013.0	5.82
1400	6875.8	49.63753	9705.2	99.50845	17800.8	63.29710	3469.0	8.38	6170.0	5.93
1420	6821.8	49.26929	9637.9	95.54292	17921.9	64.35046	3493.0	8.09	6031.0	5.83
1440	7061.8	51.28855	9380.4	98.11734	17939.9	64.37938	3669.0	8.33	5824.0	6.08
1460	6938.9	51.15283	9488.7	91.56559	17953.9	64.23342	3852.0	7.91	5872.0	5.97
1480	6891.9	51.26429	9775.7	93.93485	17713.8	61.51509	3557.0	8.12	5948.0	6.03
1500	7056.2	55.15442	9388.7	90.30815	17937.0	67.59543	4052.0	7.90	5635.0	6.24
1520	7123.3	55.71342	8819.1	88.85922	18439.9	67.60463	4220.0	7.70	5311.0	6.20
1540	6895.5	56.06831	9002.8	87.50074	18483.9	67.57423	4638.0	7.60	5853.0	6.20
1560	7442.7	53.37087	9110.7	88.13732	17827.9	65.43801	4689.0	7.76	5886.0	6.11
1580	8054.1	51.34543	9049.8	88.69596	17276.8	61.51537	5087.0	7.86	5988.0	6.08
1600	7892.4	53.63570	8683.1	87.74689	17805.9	64.61108	5244.0	7.72	5825.0	6.15
1620	7342.8	53.45719	8692.0	86.50522	18346.8	65.08233	4902.0	7.51	5852.0	5.97
1640	7502.5	51.29247	8753.7	84.75175	18124.9	65.03854	4709.0	7.36	5585.0	5.82
1660	7798.6	54.20466	8468.9	84.18070	18113.9	64.67244	5030.0	7.42	5320.0	6.08
1680	7700.8	55.54186	8918.9	88.64676	17761.8	63.22967	4897.0	7.85	5552.0	6.34
1700	7674.9	56.99788	8405.6	90.16116	18301.9	65.83426	5031.0	7.86	5490.0	6.37
1720	7834.0	58.79154	8444.3	87.23980	18103.9	64.57721	5412.0	7.73	5430.0	6.51
1740	7750.9	57.47649	8957.5	84.10692	17673.0	66.65320	5081.0	7.59	5485.0	6.38
1760	7731.7	55.04145	9125.0	80.09603	17524.1	67.25728	5102.0	7.30	5541.0	6.17
1780	7579.7	54.18630	8777.7	84.27659	18024.0	66.85402	4742.0	7.45	5400.0	6.06
1800	7742.8	56.61657	8426.4	88.44993	18212.8	64.29950	4969.0	7.74	5286.0	6.32
1820	7946.5	54.67729	8936.9	87.87773	17497.9	63.38359	4715.0	7.81	5317.0	6.29
1840	7862.6	55.18290	8732.4	91.28499	17786.9	65.14152	4850.0	7.98	5611.0	6.32
1860	7514.0	56.67617	8912.2	90.85008	17955.8	62.22646	5318.0	7.99	6109.0	6.41
1880	7487.0	56.06986	8962.7	86.03752	17931.8	61.82528	5084.0	7.63	5812.0	6.28
1900	7678.1	58.25981	9281.7	89.05113	17421.9	63.26041	4784.0	7.99	5402.0	6.62
1920	7576.8	55.10349	9564.4	88.60515	17239.9	61.54283	4547.0	7.95	5773.0	6.34
1940	7695.8	56.27443	9102.7	87.64193	17582.8	61.10397	4832.0	7.88	5605.0	6.40
1960	7505.0	56.38473	9151.0	91.36792	17725.9	63.20673	4557.0	8.08	5582.0	6.43
1980	7723.0	57.92054	8780.3	90.75730	17878.7	60.80392	4652.0	8.02	5303.0	6.53
2000	7849.6	55.16510	8902.7	85.70452	17628.9	65.01771	4486.0	7.64	5040.0	6.26
2020	8100.7	57.86266	8595.0	85.45996	17685.8	62.51230	4859.0	7.68	4826.0	6.47
2040	7999.7	57.36796	8217.7	89.18422	18164.8	63.84879	5246.0	7.82	5319.0	6.43
2060	8228.5	56.11518	8262.6	88.60351	17890.8	62.35510	5242.0	7.79	5239.0	6.35
2080	7949.8	57.37690	8704.9	85.47091	17726.8	62.63250	5324.0	7.67	5484.0	6.42
2100	7585.1	57.83334	8418.7	91.87120	18378.8	65.48074	5161.0	7.98	5647.0	6.46
2120	7745.8	56.51409	8552.9	83.98030	18082.9	65.31051	5491.0	7.47	5691.0	6.27
2140	7383.1	56.52067	8638.0	86.17465	18361.0	69.31896	5262.0	7.58	5784.0	6.25
2160	7459.1	56.89649	8265.3	85.26930	18657.9	68.68295	5176.0	7.40	5409.0	6.17
2180	7443.1	56.61790	8644.9	85.05489	18293.9	65.22803	5137.0	7.52	5732.0	6.25
2200	7478.1	57.16943	8401.0	83.65567	18502.9	67.42669	5279.0	7.36	5553.0	6.23
2220	7549.0	56.78172	8174.1	82.32683	18659.0	70.72416	5662.0	7.25	5814.0	6.16
2240	7562.1	57.46799	8030.5	85.16849	18789.9	66.98781	5507.0	7.44	5554.0	6.27
2260	7819.0	58.79472	8137.6	87.31448	18426.0	68.10976	5589.0	7.67	5537.0	6.44
2280	7732.9	56.64119	8453.2	87.16879	18195.9	65.33851	5409.0	7.64	5773.0	6.29
2300	7843.6	54.75705	8988.6	85.37396	17548.9	63.81232	5284.0	7.67	5807.0	6.27
2320	7611.7	54.42733	9007.2	81.19939	17761.9	64.10645	5789.0	7.30	6276.0	6.12
2340	7652.8	55.56234	9117.4	84.91093	17610.9	62.81057	5573.0	7.64	6128.0	6.33
2360	7779.7	55.39987	9131.5	85.65327	17469.8	61.24018	5282.0	7.72	6002.0	6.28
2380	7281.2	56.46211	9532.4	88.66328	17567.9	62.79777	5154.0	7.91	6426.0	6.41
2400	7631.9	56.45516	9591.4	88.58981	17157.8	60.13219	5414.0	8.04	6511.0	6.48
2420	7580.5	52.38215	9909.1	88.51417	16890.8	60.14406	4991.0	8.00	6673.0	6.18
2440	8066.3	53.94905	9726.2	87.82226	16587.8	58.14920	5097.0	8.02	6067.0	6.38
2460	8210.4	54.97616	9566.7	92.09314	16603.7	56.52603	5056.0	8.39	5997.0	6.56
2480	8143.8	58.57768	9536.7	91.72299	16700.7	57.24815	5208.0	8.42	5837.0	6.85
2500	7970.5	54.83891	9443.3	86.54712	16966.8	59.16203	5289.0	7.86	6044.0	6.36
2520	7911.8	57.26142	9316.9	91.77038	17152.7	58.66283	5330.0	8.27	6142.0	6.63
2540	7955.8	57.71045	9342.9	92.63029	17082.7	58.59214	5517.0	8.41	6346.0	6.74
2560	7683.0	57.71910	9697.7	92.80878	17000.7	58.42134	5427.0	8.37	6491.0	6.71
