Gen	theta:1:ajan	theta:2:alas	theta:3:R	tau:3:R	W:1->2:ajan->alas	W:2->1:alas->ajan	lnL
20	0.005534	0.007359	0.003194	0.000584	678.381168	461.199831	-475425.686
40	0.005825	0.008235	0.003054	0.000623	655.772726	411.556524	-475397.073
60	0.006186	0.008247	0.002967	0.000643	620.949591	415.355486	-475447.920
80	0.006077	0.008043	0.002898	0.000645	639.866391	433.160214	-475391.188
100	0.005975	0.007408	0.002907	0.000649	686.700835	413.162513	-475471.668
120	0.006109	0.007059	0.003122	0.000654	711.253671	442.713108	-475524.567
140	0.006031	0.007843	0.002977	0.000671	678.463584	439.101018	-475276.253
160	0.005918	0.006820	0.003062	0.000613	651.012939	459.122001	-475318.142
180	0.006197	0.007416	0.002886	0.000625	635.755960	478.633057	-475435.788
200	0.006243	0.008124	0.002899	0.000656	569.029992	410.004068	-475479.382
220	0.006421	0.007308	0.003008	0.000628	572.983520	422.620740	-475465.942
240	0.006226	0.007324	0.003050	0.000623	654.453394	428.891487	-475336.995
260	0.006037	0.008201	0.002980	0.000618	670.012220	430.230007	-475434.283
280	0.006099	0.008384	0.003025	0.000615	686.318405	365.034793	-475405.859
300	0.006023	0.008068	0.002961	0.000643	711.000903	341.384309	-475388.607
320	0.006152	0.008226	0.002959	0.000634	717.337110	380.849953	-475403.226
340	0.006005	0.007608	0.002886	0.000638	678.296193	423.625536	-475502.084
360	0.006335	0.007891	0.002997	0.000631	658.350652	476.546296	-475348.407
380	0.005658	0.007781	0.003067	0.000613	658.854528	453.211886	-475374.396
400	0.005891	0.008213	0.003099	0.000653	641.337247	457.588436	-475396.900
420	0.005709	0.008296	0.003055	0.000659	669.774119	505.396019	-475382.436
440	0.005425	0.008397	0.003000	0.000638	728.337394	563.301941	-475430.728
460	0.005594	0.007845	0.003030	0.000630	685.318886	531.101307	-475375.786
480	0.005538	0.007855	0.003104	0.000638	633.028047	533.767016	-475453.076
500	0.005974	0.008656	0.002975	0.000654	596.344699	537.102518	-475477.250
520	0.005626	0.008607	0.003071	0.000619	650.407789	555.835954	-475295.108
540	0.005930	0.008271	0.003115	0.000635	633.553082	580.684044	-475297.793
560	0.005785	0.008299	0.002860	0.000604	721.664775	552.855885	-475404.159
580	0.005563	0.008138	0.003215	0.000606	682.837818	624.722556	-475308.103
600	0.005769	0.009099	0.003087	0.000602	660.737034	660.111360	-475420.131
620	0.005802	0.007975	0.003206	0.000586	636.274028	616.444414	-475299.834
640	0.005935	0.007672	0.003098	0.000580	604.361409	610.470796	-475467.583
660	0.006092	0.007367	0.003097	0.000596	652.397021	533.270311	-475392.289
680	0.006332	0.007204	0.003147	0.000603	561.874501	556.841862	-475373.967
700	0.006200	0.008139	0.003131	0.000594	555.435356	519.892315	-475275.746
720	0.005886	0.008282	0.003243	0.000602	540.700403	524.143330	-475318.067
740	0.006082	0.008362	0.003076	0.000593	615.786572	558.584340	-475463.312
760	0.005815	0.007980	0.003175	0.000598	558.332169	503.822242	-475482.210
780	0.005639	0.007513	0.003339	0.000575	612.784871	553.119285	-475498.134
800	0.005641	0.008053	0.003164	0.000611	620.835480	565.373482	-475429.539
820	0.004993	0.008442	0.003094	0.000586	585.305672	647.515170	-475357.844
840	0.005435	0.008436	0.003091	0.000616	618.939186	615.419208	-475418.456
860	0.005319	0.008721	0.003120	0.000636	538.245037	666.401911	-475389.516
880	0.005471	0.008311	0.003074	0.000616	574.301092	660.112301	-475524.720
900	0.005445	0.008042	0.003042	0.000623	551.400943	718.819303	-475381.441
920	0.005209	0.008186	0.002985	0.000636	534.042738	743.893729	-475369.356
940	0.005279	0.008132	0.002958	0.000651	581.006579	746.129910	-475353.720
960	0.005483	0.008181	0.002966	0.000656	560.655197	732.476318	-475452.790
980	0.005154	0.007880	0.003058	0.000644	522.874011	754.614278	-475367.863
1000	0.005281	0.008115	0.002974	0.000636	574.281477	814.941072	-475372.106
1020	0.005390	0.008134	0.002998	0.000625	585.451604	866.538817	-475303.451
1040	0.005609	0.008474	0.003058	0.000644	603.284814	817.832195	-475486.724
1060	0.005502	0.008733	0.002988	0.000646	577.031715	823.937552	-475470.360
1080	0.005176	0.008385	0.002927	0.000646	556.306976	816.932366	-475445.684
1100	0.004871	0.008059	0.003187	0.000615	563.515286	837.739450	-475356.355
1120	0.005156	0.008307	0.003115	0.000639	530.251693	797.129585	-475360.229
1140	0.005087	0.008736	0.003118	0.000643	534.911065	750.854918	-475253.349
1160	0.005082	0.008326	0.003128	0.000618	530.237593	717.936610	-475442.125
1180	0.005119	0.008454	0.003026	0.000631	484.220825	813.851834	-475380.761
1200	0.005331	0.008581	0.003101	0.000626	458.378662	852.986366	-475456.738
1220	0.005093	0.008774	0.003181	0.000617	441.193177	826.785532	-475357.715
1240	0.005002	0.009040	0.003126	0.000634	429.518170	765.729546	-475300.247
1260	0.005011	0.008185	0.003142	0.000610	427.216203	791.404282	-475231.705
1280	0.005205	0.008667	0.002969	0.000631	442.191714	769.725120	-475425.062
1300	0.004913	0.008751	0.003052	0.000619	429.056250	844.654197	-475432.515
1320	0.004983	0.008223	0.003161	0.000607	414.818109	858.835397	-475353.408
1340	0.005128	0.008103	0.003171	0.000585	379.217068	905.533517	-475362.597
1360	0.004785	0.009548	0.003194	0.000601	314.298977	853.861704	-475252.665
1380	0.005245	0.009164	0.003037	0.000587	369.410774	792.247525	-475378.301
1400	0.005610	0.009500	0.003208	0.000585	349.633439	855.832717	-475381.595
1420	0.005268	0.008982	0.003189	0.000579	380.549583	931.101007	-475347.642
1440	0.005049	0.008283	0.003177	0.000562	347.184998	905.089296	-475327.886
1460	0.005236	0.008920	0.003097	0.000575	340.060151	868.637876	-475393.986
1480	0.005330	0.009511	0.003022	0.000589	331.159836	854.700402	-475370.269
1500	0.005346	0.009195	0.002946	0.000628	283.801080	853.510164	-475440.439
1520	0.005061	0.009286	0.002996	0.000607	267.744720	781.654454	-475259.146
1540	0.004703	0.009511	0.003071	0.000584	338.180693	834.696807	-475309.806
1560	0.004674	0.009229	0.002947	0.000594	323.197362	855.337944	-475342.450
1580	0.005290	0.009093	0.002961	0.000603	300.068810	828.538933	-475411.261
1600	0.005953	0.009562	0.002994	0.000627	325.488880	766.123275	-475489.573
1620	0.005317	0.008801	0.003048	0.000606	337.896932	772.301750	-475528.249
1640	0.005746	0.009190	0.003020	0.000630	339.151412	768.696230	-475365.585
1660	0.005206	0.008059	0.003107	0.000599	313.089739	791.297314	-475380.034
1680	0.005741	0.008079	0.003090	0.000631	339.512103	711.192635	-475381.380
1700	0.005680	0.008226	0.003215	0.000601	366.716699	805.689213	-475337.977
