Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
20	11581.0	57.78317	14709.7	105.64065	14109.6	45.32914	3766.0	11.16	5988.0	8.19
40	11736.9	56.54594	14678.8	105.66969	13984.5	43.45133	3748.0	11.11	5987.0	8.07
60	12023.7	55.84455	14522.9	107.06966	13853.6	44.21270	3967.0	11.23	5997.0	8.07
80	11772.7	54.33315	14872.7	106.17358	13754.5	43.37849	3767.0	11.17	6252.0	7.91
100	12059.8	57.18325	14399.7	102.86322	13940.5	43.96724	4166.0	10.94	5846.0	8.18
120	11923.8	56.34733	14559.5	99.44336	13916.6	45.22650	3963.0	10.61	5714.0	8.03
140	11710.0	58.48515	14911.4	99.80774	13778.6	44.57347	3592.0	10.73	5689.0	8.21
160	11780.0	58.46126	14928.6	104.64561	13691.5	43.14421	3692.0	11.28	5797.0	8.42
180	11765.9	57.64332	14914.8	107.48995	13719.6	44.46644	3718.0	11.45	6002.0	8.29
200	11706.8	56.14254	14792.6	102.68649	13900.6	44.38045	3833.0	10.82	5949.0	8.00
220	11900.8	56.23456	14852.8	107.22572	13646.5	42.80244	3786.0	11.31	6086.0	8.11
240	11629.9	57.19748	14980.7	106.61373	13789.5	43.81975	3628.0	11.28	6042.0	8.21
260	11762.9	57.16287	14992.5	103.08180	13644.5	43.20094	3889.0	11.05	6065.0	8.21
280	11708.0	58.15958	14964.5	103.12544	13727.6	44.72117	3881.0	11.15	6164.0	8.31
300	11759.8	56.24362	15120.6	104.97094	13519.5	41.77842	3994.0	11.24	6365.0	8.13
320	11485.0	57.10156	14978.5	103.04257	13936.5	44.18169	3917.0	10.90	6271.0	8.08
340	11484.1	58.97941	14999.6	104.75452	13916.6	44.63498	3572.0	11.18	5984.0	8.32
360	11832.1	60.72671	14673.5	100.49485	13894.6	44.95856	4002.0	10.93	5807.0	8.46
380	11568.1	59.16394	15088.4	100.95712	13743.5	42.31389	3693.0	10.94	5890.0	8.35
400	11687.1	59.75189	15119.4	102.36878	13593.5	42.55995	3672.0	11.11	5800.0	8.48
420	11576.1	59.88797	15009.2	97.04391	13814.6	44.42714	3965.0	10.62	5981.0	8.32
440	11731.1	59.47258	14697.6	102.67955	13971.6	45.29569	4114.0	10.93	6049.0	8.34
460	11608.0	57.35079	14998.6	105.45492	13793.7	45.91097	3902.0	11.20	6223.0	8.24
480	11884.8	57.14406	14788.7	105.30083	13726.5	43.42202	4004.0	11.18	5979.0	8.24
500	11838.8	56.01852	14697.8	106.20026	13863.6	44.80800	3836.0	11.27	5989.0	8.11
520	11583.9	56.65710	14624.9	108.44085	14191.6	45.53493	3816.0	11.30	6125.0	8.13
540	11652.9	56.47078	14777.7	105.16817	13969.6	45.49253	3371.0	11.05	5725.0	8.08
560	11768.7	55.11754	15032.5	103.44429	13598.6	43.40974	3434.0	11.02	5813.0	7.98
580	11648.9	56.64308	14892.6	104.65999	13858.6	45.04045	3557.0	11.14	5848.0	8.17
600	11723.8	54.99050	14635.8	105.56433	14040.6	45.04856	3231.0	11.03	5480.0	7.93
620	11351.8	54.47513	14690.7	104.28815	14357.5	45.38947	3564.0	10.81	6109.0	7.75
640	11360.8	54.31926	14494.2	112.10360	14545.5	45.60505	3363.0	11.41	6032.0	7.84
660	11642.7	53.23657	14475.6	101.81418	14281.7	47.42847	3093.0	10.57	5345.0	7.61
680	11609.1	58.91200	14564.7	104.39464	14226.6	46.74781	3569.0	10.97	5545.0	8.23
700	11697.9	57.14420	14398.5	99.55567	14303.5	44.91113	3497.0	10.54	5414.0	7.95
720	11571.0	58.46015	14447.6	101.07504	14381.5	45.38722	3143.0	10.70	5172.0	8.11
740	11815.0	59.29596	14473.5	98.84404	14111.6	45.34084	3553.0	10.60	5164.0	8.23
760	11811.1	59.82497	14102.5	97.63210	14486.7	49.48411	3694.0	10.29	5037.0	8.14
780	11507.3	61.28597	14011.8	101.57593	14881.6	48.33260	3587.0	10.59	5170.0	8.28
800	11263.4	62.47219	13896.7	98.31510	15240.6	50.45415	3664.0	10.23	5145.0	8.23
820	11583.4	63.53303	13840.5	94.33933	14976.6	48.99250	3795.0	10.03	4797.0	8.38
840	11446.5	63.75965	14329.5	98.67727	14624.6	47.61375	3706.0	10.59	5214.0	8.58
860	11635.1	59.97882	14582.3	97.45305	14182.8	49.09960	3428.0	10.46	5108.0	8.26
880	11554.0	57.81642	14110.7	101.23989	14735.6	48.73048	3594.0	10.55	5464.0	7.97
900	11961.9	58.72454	13769.8	99.29474	14668.7	49.15608	3755.0	10.39	5028.0	8.06
920	11573.0	57.60615	13994.0	104.80163	14833.5	46.94850	3489.0	10.75	5364.0	7.97
940	11610.1	59.17177	14380.6	101.15131	14409.6	46.73378	3386.0	10.62	5122.0	8.20
960	11590.2	61.54839	14151.8	103.00932	14658.6	47.32776	3502.0	10.85	5117.0	8.40
980	11446.3	61.98776	14123.6	98.60860	14830.7	50.90423	3175.0	10.38	4746.0	8.31
1000	11349.5	64.39763	13730.8	99.34528	15320.7	50.80811	3285.0	10.34	4599.0	8.43
1020	11609.3	62.71234	13627.3	89.85696	15163.7	50.92946	3575.0	9.56	4268.0	8.17
1040	11589.4	64.43427	13327.7	94.75610	15483.7	52.47516	3798.0	9.89	4384.0	8.35
1060	11608.5	65.05650	13380.9	98.22172	15411.7	51.78956	3828.0	10.28	4644.0	8.47
1080	11228.6	64.03666	13574.6	94.50683	15597.6	51.27142	3703.0	9.89	4877.0	8.25
1100	11629.1	60.01665	13598.7	96.86538	15172.6	49.76676	3378.0	10.02	4601.0	7.96
1120	11412.1	58.35413	14181.2	91.59126	14806.8	51.13734	3334.0	9.74	4863.0	7.86
1140	11798.2	62.29413	13782.5	95.00700	14819.7	50.28516	3516.0	10.08	4516.0	8.26
1160	11538.1	59.26246	14092.5	96.99504	14769.7	49.70960	3282.0	10.16	4774.0	8.00
1180	11616.0	57.75059	13845.7	99.26167	14938.7	50.69863	3339.0	10.25	4876.0	7.87
1200	11476.2	60.25395	14094.7	100.51761	14829.7	49.56831	3342.0	10.51	5011.0	8.20
1220	11545.1	59.31277	14216.5	97.61599	14638.7	49.39240	3467.0	10.27	5117.0	8.05
1240	11447.3	61.47557	13977.7	100.07992	14975.6	49.48407	3522.0	10.42	5096.0	8.24
1260	11571.3	61.84584	14152.5	97.03223	14676.7	49.93062	3557.0	10.24	5038.0	8.24
1280	11356.5	63.77768	14468.5	100.39456	14575.6	47.41765	3448.0	10.66	5049.0	8.60
1300	11200.6	64.38027	14530.2	94.76601	14669.6	47.68153	3642.0	10.26	5223.0	8.51
1320	11691.2	60.95593	14340.4	96.92923	14368.7	47.83907	3535.0	10.30	4998.0	8.23
1340	11794.2	62.00065	14229.2	92.39547	14376.6	47.44859	3754.0	10.00	4857.0	8.31
1360	11484.5	64.49123	13871.6	97.29400	15044.7	50.19914	3480.0	10.29	4659.0	8.49
1380	11510.5	64.22880	13556.7	96.56796	15333.6	50.80985	3700.0	10.16	4733.0	8.39
1400	11315.4	62.57816	13641.7	98.00450	15443.7	51.43501	3657.0	10.15	5023.0	8.18
