Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
20	5375.0	40.31005	5546.8	67.85668	15267.8	52.84421	3268.0	5.47	4067.0	4.32
40	5469.8	39.84499	5614.8	69.09008	15104.8	52.27283	3409.0	5.59	4331.0	4.34
60	5432.8	39.54944	5537.8	67.83913	15218.7	52.22737	3622.0	5.48	4437.0	4.27
80	5471.4	43.80029	5501.1	62.48670	15216.9	55.43887	3599.0	5.25	3763.0	4.51
100	5645.4	45.43318	5450.7	66.09940	15093.9	55.19811	3716.0	5.56	3845.0	4.72
120	5492.2	42.89068	5193.9	64.38664	15503.9	56.28734	3685.0	5.26	3860.0	4.43
140	5458.2	42.48702	5571.1	63.08580	15160.0	56.43879	3551.0	5.26	3936.0	4.43
160	5416.4	43.21299	5615.5	59.80313	15157.0	57.66294	3824.0	5.08	3953.0	4.42
180	5376.4	43.12061	5756.4	60.18272	15056.0	57.01008	3888.0	5.11	4010.0	4.46
200	5648.1	43.04888	5749.3	59.58942	14790.9	53.90880	3513.0	5.09	3560.0	4.45
220	5429.4	43.32383	5840.0	58.20055	14918.9	54.25062	3297.0	4.99	3504.0	4.43
240	5327.3	41.83242	5948.2	60.72710	14913.2	59.75394	3097.0	5.14	3548.0	4.38
260	5524.9	40.98783	5943.9	58.63154	14719.1	56.36181	3360.0	5.01	3736.0	4.29
280	5349.6	44.45961	5900.4	61.78625	14939.0	55.96896	3303.0	5.26	3639.0	4.58
300	5259.4	42.40157	6099.2	62.65354	14830.0	56.15765	3319.0	5.31	4016.0	4.46
320	5417.2	42.19404	5751.2	65.88971	15021.1	57.96815	3243.0	5.45	3860.0	4.47
340	5081.1	45.10950	5495.5	64.95074	15614.1	59.80029	3449.0	5.39	4042.0	4.56
360	5133.5	41.66877	5699.9	63.74603	15355.9	55.36984	3264.0	5.27	4033.0	4.33
380	5736.4	38.76885	5856.0	65.74746	14596.0	54.85545	3303.0	5.44	4069.0	4.28
400	5737.6	40.53117	5939.1	67.78013	14512.0	54.36446	3124.0	5.67	3876.0	4.48
420	5821.8	42.46061	5811.5	68.77686	14555.9	52.29100	3272.0	5.75	3837.0	4.63
440	5538.1	42.30678	6045.7	65.46211	14605.0	54.00699	3095.0	5.54	3784.0	4.57
460	5534.0	41.64716	5953.8	65.89268	14700.9	53.13200	3388.0	5.51	4057.0	4.48
480	5354.6	44.28379	5841.9	65.33106	14993.0	56.18966	3344.0	5.51	3886.0	4.64
500	5390.6	44.69947	5765.7	62.97230	15033.0	56.45656	3320.0	5.34	3557.0	4.62
520	5017.0	44.13102	5931.5	63.41920	15240.8	53.53594	3160.0	5.31	3841.0	4.52
540	4978.0	43.38961	6068.4	63.43327	15142.8	53.14253	2894.0	5.31	3767.0	4.48
560	4984.3	45.35973	6027.0	60.63618	15177.9	54.92501	3031.0	5.18	3512.0	4.58
580	5018.3	45.57629	6007.9	59.48072	15162.9	54.37579	2976.0	5.10	3291.0	4.58
