Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
20	9364.4	51.72005	8281.0	61.70850	12933.5	41.19091	4277.0	6.15	2709.0	5.87
40	9468.8	57.12759	8091.8	68.33067	13019.5	40.68597	4295.0	6.75	2602.0	6.45
60	9225.9	56.53207	8306.7	69.30709	13047.4	39.32632	4188.0	6.84	2789.0	6.45
80	9526.9	58.30336	8273.7	69.81044	12779.4	37.86985	4442.0	6.96	2857.0	6.63
100	9718.7	56.93245	8441.1	64.09009	12419.3	36.18677	4481.0	6.56	2637.0	6.51
120	9667.8	57.99571	8677.7	62.07287	12233.5	37.74166	4626.0	6.49	2824.0	6.58
140	9595.9	58.44135	8488.3	66.50645	12495.4	37.84693	4661.0	6.81	2884.0	6.71
160	9160.8	54.41874	8813.5	60.65505	12604.4	38.42806	4159.0	6.24	2818.0	6.17
180	9056.9	55.17879	8719.9	64.55633	12802.3	37.44224	4088.0	6.52	2941.0	6.27
200	9034.9	55.90909	8598.3	67.33617	12946.2	35.83841	3996.0	6.69	2764.0	6.36
220	8788.2	56.65988	8803.9	64.89505	12987.4	38.83422	3801.0	6.54	2723.0	6.36
240	9165.9	56.73435	8496.1	64.32262	12917.5	39.73629	4241.0	6.50	2792.0	6.35
260	9354.9	57.66627	8173.7	68.80093	13051.5	40.78947	4321.0	6.78	2757.0	6.47
280	9474.8	57.40329	7871.6	65.11950	13233.4	40.05200	4385.0	6.46	2303.0	6.37
300	9892.7	58.72509	8011.3	63.46419	12675.4	38.29944	4683.0	6.49	2279.0	6.61
320	9654.9	58.94581	7984.5	64.98319	12940.4	38.08255	4706.0	6.51	2493.0	6.58
340	9308.2	60.12272	8475.5	69.08371	12796.4	38.87820	4382.0	6.94	2743.0	6.79
360	9023.1	57.81382	8442.3	66.27231	13114.4	39.50042	4460.0	6.61	3045.0	6.46
380	9441.5	53.22892	8301.2	64.58449	12836.5	39.82545	4303.0	6.44	2769.0	6.11
400	9423.8	56.09828	8444.5	69.10810	12711.5	39.09276	4433.0	6.87	3013.0	6.46
420	9510.7	55.50901	8390.6	69.64574	12678.4	38.55592	4719.0	6.94	3244.0	6.46
440	9753.3	53.04906	8171.8	68.97774	12654.4	37.43681	4952.0	6.80	3416.0	6.21
460	9385.6	54.37641	8516.4	68.41154	12677.5	39.02995	4593.0	6.80	3308.0	6.33
480	9412.4	51.81117	8772.2	67.79675	12394.5	38.09820	4265.0	6.74	3309.0	6.12
500	9111.7	53.90418	8548.9	73.52235	12919.4	38.73145	4184.0	7.13	3412.0	6.30
520	9330.4	51.38860	8288.8	70.34809	12960.4	39.35901	4331.0	6.78	3295.0	6.00
540	8887.7	52.36569	8593.4	68.79024	13098.4	39.56443	4312.0	6.71	3528.0	6.06
560	9166.8	54.65913	8174.7	68.58177	13238.3	38.85301	4661.0	6.71	3427.0	6.20
580	9147.5	51.55649	8360.6	69.38752	13071.6	43.00702	4663.0	6.72	3701.0	6.00
600	8794.7	51.19333	8211.2	73.46153	13574.5	42.85505	4459.0	6.83	3826.0	5.91
620	8677.6	50.34383	8526.3	67.65344	13375.5	42.25592	4191.0	6.50	3599.0	5.78
640	8531.7	49.94656	8635.2	66.70950	13412.5	41.55117	3936.0	6.41	3451.0	5.73
660	8676.0	53.93228	8672.0	65.43286	13231.5	41.52695	4066.0	6.46	3198.0	6.08
680	8282.2	53.37783	9198.7	65.34640	13098.5	40.80118	3662.0	6.45	3309.0	6.04
700	8501.9	51.81128	8572.4	68.09262	13505.5	41.89847	3665.0	6.49	3078.0	5.87
720	8676.8	51.79269	8404.8	71.04163	13498.6	43.67573	3645.0	6.73	3096.0	5.95
740	8612.9	52.30454	8409.6	69.71976	13557.5	42.13592	3992.0	6.62	3290.0	5.93
760	8730.6	50.70281	8610.3	67.94293	13238.5	42.01452	3658.0	6.55	3010.0	5.86
780	8766.5	49.59053	8724.9	64.48696	13087.6	43.04606	3840.0	6.26	3155.0	5.69
800	9010.5	50.58956	8570.5	69.55252	12998.5	40.32459	4089.0	6.71	3386.0	5.92
820	9043.0	45.78160	8439.7	70.34154	13096.5	40.45961	3906.0	6.63	3490.0	5.51
840	9164.3	49.09419	8513.6	70.73948	12901.5	39.74373	4249.0	6.80	3558.0	5.84
860	8871.2	46.67920	8757.9	75.70270	12950.5	39.70368	3902.0	7.12	3880.0	5.74
880	8833.4	48.32385	8733.5	70.96606	13012.4	39.66041	4076.0	6.75	3796.0	5.74
900	8671.3	47.03634	9084.5	73.53625	12823.5	39.60334	3959.0	7.02	4174.0	5.73
