Gen	theta:1:ajan	theta:2:alas	theta:3:R	tau:3:R	W:1->2:ajan->alas	W:2->1:alas->ajan	lnL
20	0.006821	0.008281	0.003260	0.000630	698.907583	539.080039	-538923.059
40	0.006564	0.008504	0.003338	0.000633	682.329500	481.027134	-538929.612
60	0.007104	0.008341	0.003307	0.000624	637.290118	459.351806	-538762.397
80	0.007413	0.008314	0.003227	0.000618	684.244585	471.184266	-538978.198
100	0.007425	0.008420	0.003162	0.000641	631.060951	488.072325	-538940.975
120	0.007258	0.007694	0.003246	0.000623	662.578129	496.673514	-538908.010
140	0.007425	0.007528	0.003209	0.000628	701.282617	478.150026	-538839.347
160	0.007641	0.007660	0.003327	0.000633	723.698708	452.998995	-539024.873
180	0.007449	0.007795	0.003283	0.000647	729.899574	491.196476	-539045.515
200	0.007343	0.007553	0.003278	0.000658	726.567399	535.901565	-538934.214
220	0.007084	0.007720	0.003266	0.000647	780.427830	546.133253	-538888.824
240	0.007292	0.007867	0.003186	0.000627	788.207990	553.429997	-538813.702
260	0.006952	0.008430	0.003259	0.000633	789.125868	541.854042	-538825.249
280	0.007338	0.008197	0.003284	0.000631	763.204327	536.860698	-538929.661
300	0.007256	0.008000	0.003241	0.000631	787.127642	554.017512	-538792.210
320	0.006931	0.007827	0.003185	0.000617	907.511124	566.347049	-538830.407
340	0.007161	0.007664	0.003267	0.000658	798.590851	492.186741	-538871.325
360	0.007459	0.007640	0.003346	0.000645	769.306397	505.742225	-538879.694
380	0.007435	0.007246	0.003378	0.000605	840.598772	465.991067	-538777.671
400	0.007892	0.007432	0.003179	0.000614	830.271176	469.232494	-538919.468
420	0.008219	0.007903	0.003185	0.000646	816.396325	499.044809	-538982.314
440	0.008046	0.007756	0.003066	0.000623	818.874192	534.762196	-539036.769
460	0.008136	0.007837	0.003285	0.000630	813.098010	505.975247	-539009.403
480	0.008543	0.007322	0.003300	0.000623	771.023996	514.339354	-538937.685
500	0.007557	0.007677	0.003183	0.000626	787.893242	575.463676	-538947.207
520	0.006900	0.007361	0.003170	0.000648	730.390524	524.837935	-538821.474
540	0.007195	0.007454	0.003314	0.000660	756.004303	509.924436	-538891.386
560	0.007553	0.007408	0.003331	0.000669	771.747968	480.005831	-539023.572
580	0.007035	0.007779	0.003250	0.000681	738.914139	476.525247	-538883.885
600	0.007464	0.007779	0.003311	0.000703	746.832542	487.496097	-538892.286
620	0.007695	0.007766	0.003123	0.000680	764.626850	511.705847	-538960.403
640	0.007108	0.008011	0.003188	0.000674	786.217709	526.420308	-539100.796
660	0.007039	0.008423	0.003235	0.000656	771.193816	511.665558	-538936.383
680	0.007530	0.007573	0.003379	0.000640	804.122566	514.526898	-539034.573
700	0.007515	0.007940	0.003214	0.000646	789.061655	573.986749	-538949.330
720	0.006793	0.008009	0.003343	0.000676	674.288818	538.534969	-538977.917
740	0.007160	0.008002	0.003142	0.000685	641.063398	553.131398	-538988.128
760	0.007094	0.008475	0.003195	0.000707	709.764057	517.903939	-538945.468
780	0.007194	0.007937	0.003173	0.000675	697.112695	526.713631	-539127.250
800	0.007323	0.008525	0.003295	0.000664	685.763684	509.132631	-539015.062
