Gen	theta:1:ajan	theta:2:alas	theta:3:R	tau:3:R	W:1->2:ajan->alas	W:2->1:alas->ajan	lnL
20	0.004962	0.007231	0.003222	0.000788	331.696723	735.947824	-628272.836
40	0.004775	0.007217	0.003077	0.000784	343.974766	740.445974	-628459.197
60	0.004668	0.007393	0.003155	0.000793	348.354085	721.459849	-628570.326
80	0.004732	0.007367	0.003291	0.000812	323.370663	767.905199	-628451.139
100	0.004764	0.007146	0.003129	0.000784	367.314573	706.783892	-628483.480
120	0.004901	0.007058	0.003348	0.000793	366.874365	701.337079	-628388.804
140	0.005003	0.006701	0.003292	0.000779	330.740295	701.087713	-628477.163
160	0.004958	0.006961	0.003157	0.000818	319.290505	685.796960	-628286.634
180	0.004792	0.006958	0.003184	0.000791	336.695503	736.424913	-628525.833
200	0.004740	0.006963	0.003178	0.000770	359.819389	740.086453	-628492.056
220	0.004776	0.007203	0.003162	0.000803	327.619917	748.992364	-628393.456
240	0.004979	0.007204	0.003153	0.000801	325.111196	730.150718	-628517.872
260	0.004804	0.006909	0.003140	0.000798	347.066706	752.447776	-628426.502
280	0.004819	0.006656	0.003186	0.000783	349.880719	768.802190	-628340.330
300	0.004896	0.007225	0.003167	0.000834	343.181051	744.423132	-628415.441
320	0.004926	0.006641	0.003105	0.000765	365.316820	786.321345	-628538.841
340	0.005005	0.006712	0.003115	0.000778	328.028702	754.964899	-628381.747
360	0.005169	0.006875	0.003248	0.000797	371.796815	681.254883	-628406.806
380	0.005311	0.006945	0.003132	0.000820	339.164018	666.632228	-628494.617
400	0.005123	0.006864	0.003233	0.000827	320.878756	664.010447	-628459.961
420	0.005353	0.006703	0.003261	0.000802	370.770773	698.455612	-628321.256
440	0.005090	0.006991	0.003259	0.000787	376.019104	710.405031	-628488.617
460	0.004942	0.006929	0.003325	0.000803	350.848979	738.018243	-628422.528
480	0.004867	0.007143	0.003171	0.000803	361.004938	720.688306	-628448.983
500	0.004778	0.007207	0.003241	0.000800	341.180402	751.056217	-628316.959
520	0.004881	0.007313	0.003184	0.000790	327.243922	743.821318	-628407.477
540	0.004818	0.007087	0.003271	0.000783	299.182107	718.975735	-628406.784
560	0.004738	0.006905	0.003213	0.000786	310.232739	731.118815	-628488.336
580	0.004914	0.006903	0.003212	0.000797	322.735392	729.198060	-628583.575
600	0.004668	0.007250	0.003232	0.000775	293.948835	691.995424	-628360.316
620	0.004732	0.007073	0.003153	0.000749	328.205476	802.872342	-628431.323
640	0.004739	0.007813	0.003127	0.000772	292.305356	763.838819	-628550.491
660	0.004616	0.007044	0.003295	0.000735	290.351276	700.002303	-628349.829
680	0.004981	0.006957	0.003228	0.000761	334.541337	690.692926	-628370.746
700	0.004969	0.006900	0.003203	0.000750	338.552090	679.946206	-628532.086
720	0.005045	0.006919	0.003133	0.000760	296.046465	625.792845	-628413.983
740	0.005026	0.006851	0.003255	0.000766	345.990936	614.566928	-628394.921
760	0.005102	0.006872	0.003398	0.000738	361.467521	623.166075	-628353.965
780	0.005320	0.007180	0.003231	0.000747	340.426922	625.563994	-628358.587
800	0.005598	0.007043	0.003317	0.000725	347.952740	627.870538	-628538.456
820	0.005582	0.006825	0.003335	0.000734	377.804466	560.700219	-628508.188
840	0.005548	0.006876	0.003290	0.000766	345.055298	615.102358	-628479.671
860	0.004991	0.006511	0.003352	0.000731	332.847057	653.575354	-628300.663
880	0.005005	0.007195	0.003256	0.000739	341.288407	678.776987	-628595.265
900	0.004961	0.007179	0.003351	0.000737	359.946482	623.132516	-628538.480
920	0.004960	0.007635	0.003166	0.000743	323.964355	665.913216	-628526.855
940	0.005099	0.007014	0.003302	0.000756	309.425277	620.236277	-628430.131
960	0.005295	0.007305	0.003277	0.000767	321.807651	612.389065	-628495.801
980	0.005352	0.006736	0.003385	0.000724	322.606867	590.367739	-628516.776
1000	0.005624	0.007186	0.003332	0.000730	309.140601	544.448944	-628485.975
1020	0.005491	0.006629	0.003337	0.000695	382.448707	515.722360	-628513.174
1040	0.005581	0.006987	0.003393	0.000706	382.398368	528.537120	-628480.374
1060	0.005590	0.007096	0.003256	0.000708	381.857899	558.724230	-628403.271
1080	0.005715	0.007048	0.003289	0.000707	377.253737	596.219627	-628424.321
1100	0.005189	0.007183	0.003284	0.000701	341.444261	570.021475	-628499.137
1120	0.005145	0.006428	0.003437	0.000700	342.668735	619.592505	-628279.120
1140	0.005340	0.006818	0.003434	0.000727	342.151413	546.489918	-628399.222
1160	0.005217	0.006857	0.003340	0.000721	315.829295	599.371285	-628248.993
1180	0.004965	0.007227	0.003338	0.000716	334.399684	612.014661	-628431.553
1200	0.005108	0.006999	0.003229	0.000727	328.802795	641.988171	-628384.091
1220	0.005227	0.006995	0.003436	0.000739	333.214287	621.778913	-628532.501
1240	0.005281	0.007178	0.003282	0.000735	347.577940	622.398719	-628470.130
1260	0.005321	0.006837	0.003436	0.000733	350.370804	612.804193	-628417.101
1280	0.005468	0.006816	0.003176	0.000750	320.281066	594.441758	-628437.648
1300	0.005829	0.006530	0.003284	0.000749	357.936582	603.581409	-628469.579
1320	0.005215	0.006841	0.003343	0.000743	351.163852	607.833401	-628518.898
1340	0.005425	0.006574	0.003366	0.000755	362.483006	579.495993	-628431.812
1360	0.005632	0.007027	0.003345	0.000736	339.656738	558.123186	-628466.654
1380	0.005443	0.006863	0.003214	0.000702	373.685258	583.544919	-628377.523
1400	0.005584	0.007181	0.003302	0.000710	362.827551	634.429994	-628493.876
1420	0.005102	0.007463	0.003137	0.000703	390.736868	608.046630	-628313.638
1440	0.005193	0.007292	0.003345	0.000710	382.758092	632.266348	-628565.157
1460	0.004900	0.007188	0.003248	0.000702	382.224550	643.807399	-628308.990
1480	0.005121	0.006970	0.003354	0.000716	365.635792	655.265239	-628511.088
1500	0.005174	0.006856	0.003375	0.000718	368.165299	630.450061	-628419.435
1520	0.005059	0.006772	0.003399	0.000724	377.689640	578.643349	-628530.917
1540	0.005342	0.006689	0.003245	0.000734	402.749945	594.220818	-628436.207
1560	0.005679	0.006815	0.003365	0.000745	358.099021	617.882669	-628408.658
1580	0.005487	0.006933	0.003129	0.000731	347.187931	591.415838	-628470.036
1600	0.005670	0.007219	0.003309	0.000730	339.799686	612.049304	-628514.171
1620	0.005293	0.007767	0.003279	0.000722	346.490433	620.540088	-628625.151
1640	0.005365	0.007527	0.003311	0.000719	366.097245	594.492309	-628403.692
1660	0.005163	0.007659	0.003357	0.000729	364.699848	572.479175	-628478.215
1680	0.005442	0.007135	0.003287	0.000711	383.869314	559.160658	-628638.156
1700	0.005733	0.007693	0.003238	0.000714	347.793563	640.059533	-628434.853
1720	0.005406	0.007145	0.003234	0.000692	365.201509	601.292489	-628685.610
1740	0.005308	0.006880	0.003277	0.000712	359.818822	602.069962	-628547.131
1760	0.005567	0.007038	0.003243	0.000692	377.269688	594.404260	-628572.253
1780	0.005486	0.007120	0.003329	0.000714	327.733971	581.148672	-628481.537
1800	0.005686	0.007008	0.003268	0.000693	366.143563	602.302794	-628458.678
1820	0.005389	0.006755	0.003382	0.000662	360.301694	609.778936	-628342.626
1840	0.005460	0.006743	0.003504	0.000680	382.708592	660.338638	-628463.730
1860	0.005336	0.006729	0.003479	0.000676	365.968637	549.824789	-628385.971
1880	0.005655	0.007031	0.003372	0.000713	377.582407	538.549111	-628480.629
1900	0.005583	0.007001	0.003334	0.000728	377.494039	567.741703	-628477.113
1920	0.005297	0.006921	0.003513	0.000710	352.234117	560.955862	-628386.633
1940	0.005418	0.006581	0.003375	0.000685	404.971939	555.149421	-628382.950
1960	0.005306	0.006969	0.003436	0.000690	412.632775	541.769814	-628472.737
1980	0.005395	0.006768	0.003296	0.000697	359.183247	476.602106	-628511.344
2000	0.005454	0.006947	0.003349	0.000710	379.184934	492.889201	-628620.952
2020	0.005400	0.007080	0.003237	0.000671	395.885308	530.378499	-628396.272
2040	0.005336	0.007352	0.003440	0.000719	342.123001	549.869904	-628578.622
2060	0.005779	0.007093	0.003264	0.000737	357.783922	509.216154	-628626.486
2080	0.005166	0.007131	0.003394	0.000698	383.227250	551.788911	-628443.248
2100	0.005340	0.007091	0.003367	0.000693	371.166019	574.280405	-628411.697
2120	0.005663	0.007327	0.003259	0.000729	342.152033	551.161964	-628524.649
2140	0.005468	0.007401	0.003308	0.000734	348.618165	546.977683	-628399.069
2160	0.005226	0.006755	0.003322	0.000698	382.144092	562.837384	-628431.839
2180	0.005171	0.006678	0.003316	0.000715	352.406498	480.178167	-628418.682
2200	0.005585	0.006993	0.003341	0.000720	363.585734	539.173105	-628430.701
2220	0.005496	0.006832	0.003354	0.000700	417.521634	555.727485	-628386.210
2240	0.005539	0.007107	0.003229	0.000736	393.661423	542.741014	-628418.099
2260	0.005248	0.007171	0.003324	0.000733	373.664028	591.360925	-628477.474
2280	0.005263	0.006883	0.003284	0.000738	401.689585	556.832395	-628383.488
2300	0.005447	0.006656	0.003278	0.000725	340.939756	586.063683	-628475.118
2320	0.005375	0.006946	0.003308	0.000731	356.071272	582.330230	-628451.024
2340	0.005099	0.006800	0.003257	0.000737	342.160149	582.744889	-628422.662
2360	0.005218	0.007142	0.003127	0.000722	361.640668	575.043010	-628476.541
2380	0.005262	0.007110	0.003359	0.000728	367.048672	604.894481	-628314.953
2400	0.005189	0.006731	0.003379	0.000732	372.957644	605.613512	-628297.787
2420	0.005161	0.007013	0.003384	0.000723	371.487861	626.326370	-628455.436
2440	0.005452	0.006921	0.003441	0.000714	378.755247	602.377513	-628425.202
2460	0.005790	0.007577	0.003269	0.000719	423.178736	578.062614	-628535.159
2480	0.005213	0.006974	0.003268	0.000705	430.874221	620.941227	-628419.822
2500	0.005309	0.007165	0.003176	0.000724	395.894712	618.395173	-628403.221
2520	0.005452	0.007192	0.003299	0.000721	425.871792	581.678493	-628448.637
2540	0.005127	0.007188	0.003228	0.000733	411.724812	519.417257	-628555.966
2560	0.005276	0.007072	0.003382	0.000697	451.721840	537.677454	-628522.528
2580	0.005548	0.006895	0.003356	0.000705	414.816087	516.238374	-628444.208
2600	0.005762	0.006989	0.003325	0.000690	441.081665	559.418301	-628449.574
2620	0.005516	0.006838	0.003297	0.000702	423.225794	491.135798	-628375.969
2640	0.005663	0.007201	0.003296	0.000742	380.552344	463.839043	-628430.434
2660	0.005708	0.006678	0.003255	0.000729	344.959747	491.418278	-628550.946
2680	0.005699	0.006784	0.003214	0.000747	339.631967	463.475153	-628437.470
2700	0.005680	0.006557	0.003380	0.000737	343.286303	491.200305	-628397.461
2720	0.005571	0.006483	0.003296	0.000723	363.057474	493.508835	-628458.948
2740	0.005700	0.006429	0.003199	0.000725	392.392882	531.506251	-628489.002
2760	0.005223	0.006738	0.003301	0.000709	401.032200	576.850878	-628372.357
2780	0.005279	0.006908	0.003312	0.000729	415.830849	574.813911	-628345.575
2800	0.005289	0.006967	0.003448	0.000748	402.207330	578.048479	-628395.003
2820	0.005096	0.006370	0.003391	0.000709	408.672124	651.877049	-628220.784
2840	0.005524	0.006380	0.003390	0.000701	393.970173	631.789373	-628446.206
2860	0.005238	0.007185	0.003251	0.000749	397.035374	617.327864	-628362.435
2880	0.005421	0.007298	0.003242	0.000731	417.953690	570.641902	-628499.916
2900	0.005313	0.007264	0.003239	0.000721	400.699255	605.091776	-628422.792
2920	0.005633	0.006613	0.003330	0.000730	375.556503	604.336750	-628472.201
2940	0.005327	0.006752	0.003213	0.000720	379.419610	639.472764	-628372.514
2960	0.005253	0.006986	0.003301	0.000719	367.562392	595.304920	-628340.900
2980	0.005067	0.007264	0.003311	0.000733	365.480168	600.291759	-628413.989
3000	0.005289	0.007356	0.003168	0.000737	331.023766	572.346996	-628416.223
3020	0.005302	0.006840	0.003220	0.000708	389.264367	569.142314	-628494.716
3040	0.005513	0.006966	0.003260	0.000708	345.648154	508.952498	-628413.328
3060	0.005726	0.006744	0.003301	0.000720	375.691853	532.419115	-628385.148
3080	0.005670	0.006520	0.003340	0.000727	341.358701	552.358334	-628588.281
3100	0.005430	0.006526	0.003256	0.000732	312.988769	550.890158	-628545.861
3120	0.005460	0.006884	0.003322	0.000720	335.172130	559.015166	-628408.879
3140	0.005513	0.007216	0.003236	0.000742	340.484099	523.120727	-628471.090
3160	0.005652	0.007185	0.003189	0.000759	339.745020	526.134298	-628367.241
3180	0.005495	0.006981	0.003317	0.000744	373.905464	543.532325	-628361.335
3200	0.005370	0.007059	0.003220	0.000722	397.515546	574.154175	-628568.472
3220	0.005097	0.006968	0.003371	0.000726	383.134161	606.188693	-628384.656
3240	0.004969	0.007009	0.003254	0.000734	375.975281	586.583578	-628399.073
3260	0.004971	0.007900	0.003175	0.000761	357.013714	589.957398	-628430.090
3280	0.004921	0.007702	0.003144	0.000754	372.289026	566.848586	-628658.052
3300	0.004747	0.007463	0.003235	0.000737	412.778478	637.129844	-628489.384
3320	0.005115	0.007538	0.003297	0.000790	406.622576	634.135837	-628402.628
3340	0.005153	0.006980	0.003248	0.000777	430.827830	656.476093	-628531.059
3360	0.005410	0.006904	0.003132	0.000792	388.713956	580.305838	-628517.523
3380	0.005440	0.006521	0.003246	0.000816	361.279984	574.686570	-628486.059
3400	0.005248	0.006576	0.003229	0.000785	368.318039	591.263871	-628377.379
3420	0.005522	0.006633	0.003199	0.000781	399.610286	582.468086	-628496.230
