Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
20	9626.6	66.94100	9254.6	75.95660	15545.6	50.67148	5366.0	7.67	4045.0	7.55
40	9963.3	65.60833	9099.6	75.56464	15363.7	51.31368	5181.0	7.65	3632.0	7.51
60	9450.7	67.70866	9084.7	76.34039	15891.6	52.48897	4858.0	7.63	3441.0	7.59
80	9343.0	69.64827	9017.7	75.33325	16066.6	51.65848	5092.0	7.54	3602.0	7.65
100	9261.0	69.63304	9263.8	78.25685	15902.5	50.06824	4903.0	7.85	3790.0	7.78
120	9376.8	67.86765	9452.2	73.13066	15597.6	50.75966	4941.0	7.47	3700.0	7.56
140	9414.9	69.32826	9521.0	71.43080	15490.5	49.31503	5129.0	7.38	3724.0	7.70
160	9454.0	71.27825	9407.0	71.08279	15565.7	52.01039	5305.0	7.41	3612.0	7.84
180	9657.9	71.21144	9447.2	72.89709	15321.6	49.80259	5523.0	7.59	3881.0	7.91
200	9555.9	70.11121	9789.0	73.58654	15081.6	49.13183	5525.0	7.70	4238.0	7.91
220	9691.7	69.31503	9577.1	72.99141	15157.6	49.20684	5817.0	7.60	4378.0	7.79
240	9687.7	69.47124	9098.3	71.38236	15640.5	49.48753	6039.0	7.35	4336.0	7.65
260	9952.5	68.83064	8819.8	75.26373	15654.6	50.69030	6098.0	7.61	4145.0	7.71
280	9494.0	70.84180	9068.6	74.45621	15864.6	52.21581	5809.0	7.59	4152.0	7.78
300	9647.8	69.98462	9073.5	74.21237	15705.6	51.92011	5953.0	7.56	4282.0	7.73
320	9991.7	71.76997	9016.5	72.99992	15418.7	51.15185	6385.0	7.54	4319.0	7.92
340	10200.7	72.41199	9268.2	71.73768	14957.6	48.74721	6079.0	7.58	3938.0	8.08
360	9794.9	71.80820	9363.1	71.44257	15268.7	51.45023	5736.0	7.49	3895.0	7.92
380	9521.1	72.26788	9129.8	66.05949	15775.7	53.27761	5837.0	6.95	3688.0	7.71
400	9454.4	75.21496	9050.0	68.26350	15922.6	51.12480	5848.0	7.15	3595.0	7.96
420	9305.6	76.97983	9346.2	72.76019	15775.6	50.68194	6026.0	7.54	4150.0	8.21
440	9328.6	77.29326	9193.6	75.37904	15905.6	52.18926	6043.0	7.77	4197.0	8.33
460	9239.5	75.65165	9169.2	71.49614	16018.6	52.53388	5979.0	7.40	4055.0	8.04
480	8966.7	75.38993	9437.9	70.15287	16022.6	53.02782	5676.0	7.30	3993.0	7.97
500	9306.0	70.13677	9475.2	72.96693	15645.6	50.28302	5874.0	7.48	4478.0	7.71
520	9859.6	68.87600	9625.0	71.92253	14941.6	48.12319	5570.0	7.53	4016.0	7.79
540	9874.8	71.10540	9559.0	72.29563	14992.6	49.50706	5824.0	7.62	4185.0	7.98
560	9768.1	74.58373	9615.9	71.51004	15042.6	49.72704	5801.0	7.62	4005.0	8.23
580	10191.5	70.04140	9513.1	72.31937	14721.5	46.68440	5747.0	7.63	3862.0	7.95
600	10093.9	74.70832	9635.2	74.96215	14697.6	48.46021	5878.0	8.02	4101.0	8.44
620	9740.1	74.83907	9531.3	74.63171	15155.5	47.00161	5994.0	7.83	4216.0	8.33
640	10122.7	72.18665	9349.3	74.18890	14954.6	48.21562	6183.0	7.79	4293.0	8.12
660	10095.6	70.23091	9083.7	76.12087	15247.6	49.11524	5981.0	7.81	4147.0	7.90
680	9636.0	71.78481	9339.1	71.57554	15451.7	52.14338	5968.0	7.45	4089.0	7.92
700	9416.0	70.75767	9472.3	74.50354	15538.6	50.47877	5981.0	7.68	4570.0	7.86
720	9873.5	68.11562	9614.4	76.76035	14938.7	50.43096	5568.0	7.98	4281.0	7.91
740	9616.7	68.24411	9955.3	78.90470	14854.5	46.90703	5336.0	8.16	4457.0	7.94
760	10164.6	71.35758	9403.8	79.74007	14858.6	47.62245	5985.0	8.30	4383.0	8.30
780	9754.8	70.93101	9606.4	76.85145	15065.5	47.92763	5603.0	7.96	4198.0	8.06
800	9672.6	67.97150	9285.6	76.43863	15468.5	49.07132	5485.0	7.72	4073.0	7.70
820	9464.6	66.00937	9583.3	75.76089	15378.6	49.51348	5267.0	7.71	4280.0	7.55
840	9763.2	63.93266	9200.3	71.99606	15462.8	54.53468	5847.0	7.33	4401.0	7.25
