Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
20	8401.3	55.93607	6988.5	48.07189	10912.7	36.72848	3489.0	5.38	1034.0	6.15
40	8126.0	61.27685	7059.1	44.97663	11117.7	38.08742	3835.0	5.17	1056.0	6.44
60	8136.7	57.87737	7140.0	44.58429	11025.7	37.78663	3748.0	5.10	1177.0	6.18
80	8053.7	57.74881	7307.0	45.31424	10941.7	37.56309	3600.0	5.19	1216.0	6.21
100	8247.8	59.73243	6694.8	48.49563	11360.7	38.17128	3985.0	5.36	1144.0	6.35
120	8385.4	57.11687	6828.7	48.65386	11088.8	39.22759	3730.0	5.41	1122.0	6.21
140	8680.3	57.14355	6775.5	47.01494	10846.7	36.01084	4132.0	5.26	1094.0	6.24
160	8300.0	61.99125	6828.7	48.65817	11174.8	39.24754	3912.0	5.46	1066.0	6.61
180	7931.9	58.79606	6601.0	49.91003	11770.6	38.68800	3573.0	5.41	1058.0	6.19
200	7648.4	60.89370	7144.6	50.01137	11510.8	40.29042	3248.0	5.50	1129.0	6.44
220	7464.2	58.02559	7176.3	47.16668	11662.7	38.97432	3193.0	5.19	1111.0	6.08
240	7581.7	63.78454	7078.5	48.62988	11643.7	38.79568	3492.0	5.42	1045.0	6.60
260	7170.7	60.39714	7377.8	44.75048	11754.9	41.99472	3170.0	5.05	1123.0	6.16
280	7388.3	57.81786	6955.2	45.04810	11959.8	41.51409	3177.0	4.92	837.0	5.90
300	7346.5	59.60135	6934.3	45.92794	12022.7	41.23244	3248.0	5.05	876.0	6.10
320	7423.5	60.12825	7007.2	45.27860	11872.7	39.66859	3427.0	5.02	1020.0	6.13
340	7212.8	61.50139	6928.6	48.52638	12162.7	41.23326	3215.0	5.26	939.0	6.26
360	7520.2	58.71145	6829.5	46.59776	11953.6	39.35013	3298.0	5.08	859.0	6.03
380	7471.6	61.97420	7088.2	45.72815	11743.6	38.36769	3309.0	5.14	874.0	6.33
400	7582.3	59.29777	7089.3	46.79010	11631.6	38.38370	3265.0	5.19	933.0	6.20
420	7626.2	58.96530	7041.4	47.52239	11635.8	40.32928	3239.0	5.26	979.0	6.19
440	7881.8	57.21327	7207.1	45.60409	11213.8	38.98119	3360.0	5.11	1021.0	6.10
460	7689.3	60.15222	7199.0	45.07862	11414.8	39.81676	3532.0	5.12	1122.0	6.27
480	7605.2	59.11927	6942.3	45.67661	11755.8	41.68232	3522.0	5.07	1049.0	6.12
500	7704.8	56.29689	6762.7	47.90742	11835.8	41.94562	3328.0	5.17	977.0	5.94
520	7551.0	56.50067	6665.8	48.15167	12086.7	40.79164	3471.0	5.14	1115.0	5.89
540	7664.9	56.40631	6707.8	48.71583	11930.9	42.64116	3390.0	5.20	1075.0	5.93
560	7563.9	56.25737	6727.8	48.45959	12011.8	42.54773	3287.0	5.19	1061.0	5.89
580	7554.3	59.59785	6897.8	50.35155	11851.7	39.49209	3215.0	5.44	979.0	6.27
600	7758.1	59.26782	7014.6	48.80336	11530.7	39.64463	3290.0	5.39	1039.0	6.24
620	7773.4	62.51661	6881.9	50.49597	11648.6	38.19458	3388.0	5.58	998.0	6.55
640	7700.2	59.82780	6787.6	47.84209	11815.8	40.88129	3501.0	5.23	981.0	6.22
660	7706.5	62.40691	6864.6	48.18120	11732.8	41.10375	3600.0	5.30	992.0	6.42
680	7681.6	63.54304	6848.6	48.11848	11773.6	38.38215	3732.0	5.34	1068.0	6.54
700	7621.9	65.41605	6901.5	47.79551	11780.6	38.63448	3880.0	5.36	1190.0	6.68
720	7867.5	63.51565	7099.2	46.30597	11336.8	39.46085	3831.0	5.30	1241.0	6.61
740	7661.4	61.74006	6983.3	46.37981	11658.8	41.13667	3700.0	5.24	1232.0	6.39
760	7715.1	58.56406	6940.4	47.15275	11647.8	40.16173	3458.0	5.18	1074.0	6.12
780	7484.2	58.02591	6845.2	44.22749	11973.9	43.52664	3679.0	4.87	1169.0	5.90
800	7538.3	59.69378	6670.9	49.14199	12094.8	42.97075	3589.0	5.27	1102.0	6.17
820	7735.1	58.81102	6684.8	48.11061	11883.8	41.94319	3558.0	5.21	1066.0	6.11
840	8121.8	58.66798	6269.4	49.94217	11912.8	41.08516	3733.0	5.35	941.0	6.15
860	7973.7	56.79870	6522.9	48.30237	11807.1	45.50520	3437.0	5.22	818.0	5.99
880	7968.9	58.57206	6488.2	50.12470	11846.8	42.20965	3624.0	5.39	982.0	6.19
900	7834.1	60.14959	6442.4	51.40772	12027.6	39.07919	3785.0	5.46	1161.0	6.27
920	7845.3	61.53640	6905.7	49.16932	11552.7	39.48858	3509.0	5.44	1043.0	6.46
940	8035.6	56.51982	6718.7	48.27562	11548.7	39.57295	3578.0	5.27	1118.0	6.03
960	8221.8	59.91408	6560.2	50.56391	11521.7	38.70083	3818.0	5.50	1037.0	6.40
980	8296.7	59.46770	6522.9	48.14484	11483.7	38.80089	4053.0	5.31	1118.0	6.30
1000	8420.5	57.89379	6642.4	52.84777	11240.6	37.24811	3665.0	5.70	1083.0	6.35
1020	8043.7	57.38583	6748.9	49.67273	11510.7	38.23006	3501.0	5.42	1014.0	6.17
1040	7856.8	56.55807	6682.3	52.64705	11764.6	38.88465	3295.0	5.59	1063.0	6.11
1060	8058.5	55.79931	6548.1	50.02637	11696.7	38.97364	3413.0	5.35	906.0	5.98
1080	7784.7	55.81937	7071.3	47.26691	11446.7	39.35123	3001.0	5.20	818.0	5.96
1100	8030.9	58.75361	6572.4	52.24692	11700.8	40.60383	3483.0	5.54	883.0	6.26
1120	7910.7	56.66286	6947.4	46.61545	11444.8	39.78292	3268.0	5.15	861.0	6.03
1140	8163.6	57.48823	6948.0	51.90224	11191.8	39.04646	3280.0	5.66	995.0	6.31
1160	8192.6	57.63103	6942.7	49.06428	11167.6	36.51541	3396.0	5.43	964.0	6.23
1180	8376.8	61.17180	7104.5	49.18518	10821.7	36.04345	3627.0	5.60	1010.0	6.68
1200	8259.5	56.42749	6905.5	47.80623	11137.8	38.50511	3499.0	5.34	971.0	6.15
1220	8222.6	57.74681	7090.3	47.27707	10989.8	38.15242	3735.0	5.30	1211.0	6.26
1240	8405.4	56.45598	6864.3	45.88584	11032.8	38.29183	3632.0	5.15	862.0	6.07
1260	7878.9	58.49980	6915.9	51.34551	11508.7	39.19082	3224.0	5.57	1036.0	6.27
1280	7635.4	60.97657	7112.7	50.81768	11555.7	38.65687	3214.0	5.62	1124.0	6.49
1300	7975.0	60.16925	6502.1	49.93055	11826.6	37.94496	3863.0	5.41	1218.0	6.28
1320	7890.9	58.48427	6606.9	48.48251	11805.8	40.61842	3661.0	5.26	1048.0	6.14
1340	8071.3	53.78091	6779.6	47.16735	11451.9	40.85925	3456.0	5.13	1048.0	5.80
1360	8275.7	58.93436	6803.6	47.68871	11223.8	38.86616	3788.0	5.30	1065.0	6.28
1380	8276.9	60.94279	6690.0	50.00717	11336.8	40.00738	3833.0	5.54	1014.0	6.49
1400	7830.0	58.28264	6768.6	47.47930	11704.7	39.59560	3611.0	5.19	1107.0	6.12
1420	7445.3	58.80791	6713.7	48.27225	12144.7	40.53920	3410.0	5.19	1099.0	6.04
1440	7831.6	54.84859	6632.3	52.14995	11839.7	40.64148	3281.0	5.46	1140.0	5.90
1460	7692.1	58.68656	6432.6	53.29276	12179.7	40.69755	3239.0	5.59	933.0	6.18
1480	7528.1	57.31906	6653.0	49.68095	12122.8	41.94406	3227.0	5.28	1004.0	5.98
1500	7680.6	53.72974	6866.4	46.66412	11755.8	41.23905	3197.0	5.09	1048.0	5.72
1520	7185.6	58.89081	7224.3	48.28317	11893.8	41.57513	2980.0	5.24	1077.0	6.11
1540	7594.1	58.26586	6936.5	48.03494	11772.7	39.48814	3328.0	5.22	1025.0	6.09
1560	7799.2	60.25439	6882.5	47.71459	11621.6	37.07871	3411.0	5.26	859.0	6.28
1580	7535.6	62.12719	7111.1	45.16593	11656.8	40.91481	3530.0	5.09	1025.0	6.34
1600	8003.8	57.95893	6980.2	45.02341	11318.8	39.16151	3827.0	5.06	1212.0	6.11
1620	8194.0	61.22015	6914.2	45.05933	11194.9	40.55867	3780.0	5.13	878.0	6.41
1640	7998.2	62.30583	6963.1	44.66883	11341.7	38.98289	3899.0	5.11	1005.0	6.45
1660	8040.0	60.29028	6978.5	47.61057	11284.7	38.15094	3698.0	5.35	1147.0	6.37
1680	8518.6	59.51434	6975.3	46.26915	10808.7	36.08886	4050.0	5.27	1135.0	6.41
1700	8411.7	60.17061	6762.4	46.04798	11128.6	36.29819	4166.0	5.24	1149.0	6.42
1720	8243.1	62.97363	7134.1	45.49723	10925.8	37.63956	4011.0	5.29	1253.0	6.65
1740	8137.0	61.27948	7010.0	43.61268	11155.7	37.35781	4022.0	5.07	1176.0	6.44
1760	8234.2	63.88965	7117.1	45.71908	10951.7	37.09966	4075.0	5.30	1226.0	6.72
1780	8168.1	62.23059	7184.2	46.41295	10950.5	34.83027	3717.0	5.35	1124.0	6.64
1800	8398.9	62.30936	6970.4	47.39379	10933.7	37.04370	3852.0	5.44	949.0	6.69
1820	8307.4	66.51835	6970.3	46.63050	11025.7	37.87548	3902.0	5.44	855.0	6.95
1840	8791.5	60.94840	6886.2	44.73194	10624.7	35.68227	4118.0	5.21	889.0	6.58
1860	8693.9	63.69037	6993.1	44.71477	10615.7	35.34359	4179.0	5.27	962.0	6.77
1880	8471.1	64.19819	6957.4	46.76382	10874.7	36.62923	4095.0	5.39	952.0	6.82
1900	8517.8	62.06533	7215.1	45.91032	10569.8	36.71385	3917.0	5.39	1084.0	6.75
1920	8426.0	63.64011	7113.8	42.77983	10762.7	35.68230	4041.0	5.08	954.0	6.68
1940	8525.2	65.56844	7090.3	46.80311	10687.7	36.24669	3990.0	5.53	1026.0	7.01
1960	8472.9	62.69464	6995.4	46.85471	10834.7	36.23477	4031.0	5.41	1092.0	6.72
1980	8919.7	63.91587	6728.6	47.03300	10654.7	35.83005	4402.0	5.48	1017.0	6.93
2000	8938.9	65.92347	6884.1	44.09611	10479.6	34.18409	4379.0	5.26	901.0	6.99
2020	8861.9	65.77172	6895.1	44.36945	10545.7	35.33682	4602.0	5.28	1129.0	7.01
2040	8366.2	64.55817	6958.4	47.00767	10978.6	36.35598	4259.0	5.43	1306.0	6.81
2060	8232.7	58.53924	7085.1	45.58522	10984.7	37.17917	3870.0	5.20	1260.0	6.26
2080	7997.2	62.19472	7129.1	45.86741	11176.4	33.54639	3882.0	5.27	1270.0	6.55
2100	8155.8	59.09491	7142.6	49.96120	11004.7	37.19509	3717.0	5.57	1413.0	6.42
2120	8280.5	56.90312	6693.9	49.65791	11328.7	38.48751	3901.0	5.41	1323.0	6.16
2140	8360.4	55.95435	6756.8	49.32473	11185.7	37.84740	3877.0	5.39	1276.0	6.11
2160	7927.9	58.96291	6967.6	48.83427	11407.7	38.83384	3624.0	5.41	1233.0	6.29
2180	7786.7	65.17107	6965.3	46.23827	11551.7	38.98383	4078.0	5.26	1308.0	6.66
2200	7742.7	65.21044	7052.2	45.69343	11508.6	37.30340	3985.0	5.23	1263.0	6.69
2220	7840.3	61.99490	7000.3	46.33842	11462.7	39.06912	3851.0	5.22	1215.0	6.45
2240	7710.8	56.40851	6885.4	46.91711	11706.8	41.36974	3539.0	5.15	1207.0	5.96
2260	7669.0	57.98994	6915.5	47.50274	11718.9	42.25606	3514.0	5.20	1219.0	6.07
2280	7678.5	62.76645	6808.0	51.01086	11817.6	39.07208	3755.0	5.60	1411.0	6.55
2300	7566.1	57.57058	6947.5	47.44066	11789.7	39.29581	3564.0	5.20	1367.0	6.02
2320	7320.6	60.07415	6937.9	51.37275	12045.6	39.27211	3468.0	5.49	1439.0	6.26
2340	7305.6	60.64311	6935.8	50.35212	12062.6	39.76990	3365.0	5.48	1260.0	6.29
2360	7897.8	57.18206	6841.7	48.71619	11563.7	39.57878	3628.0	5.28	1189.0	6.08
2380	7658.9	56.31241	7046.7	50.35941	11597.8	40.77468	3322.0	5.46	1303.0	6.09
2400	7935.4	54.06372	6920.8	50.12719	11446.9	41.23062	3221.0	5.41	1209.0	5.90
2420	8060.5	55.92288	7196.8	51.81128	11045.7	37.47864	3340.0	5.71	1420.0	6.24
2440	7925.4	54.00990	7603.0	47.93813	10773.7	36.06023	3080.0	5.39	1350.0	6.02
2460	7993.5	54.97117	7707.3	51.31182	10601.8	37.36502	3261.0	5.79	1685.0	6.27
2480	8214.6	57.18741	7610.1	48.93878	10477.8	36.51038	3467.0	5.62	1469.0	6.42
2500	8048.5	55.70682	7663.2	49.92401	10590.7	35.57595	3279.0	5.65	1522.0	6.28
2520	8220.2	53.85564	7392.7	52.41507	10689.7	35.65356	3368.0	5.81	1540.0	6.19
2540	7997.3	52.73790	7381.5	51.02027	10923.6	35.05196	3338.0	5.57	1521.0	6.02
2560	8375.2	54.46109	7065.7	49.96877	10861.8	37.69386	3546.0	5.53	1331.0	6.09
2580	8244.4	56.05494	7207.7	51.55954	10850.8	38.34246	3472.0	5.68	1475.0	6.24
2600	7668.8	55.63178	7365.5	51.05333	11268.8	39.35247	3364.0	5.56	1650.0	6.11
2620	7875.8	57.32284	7104.2	54.73792	11323.7	37.54648	3359.0	5.89	1486.0	6.34
2640	8019.5	55.14315	7023.0	52.60585	11260.6	37.17017	3304.0	5.69	1426.0	6.10
2660	7835.5	54.16406	7426.5	51.43900	11040.6	36.26462	3078.0	5.65	1510.0	6.07
2680	7703.4	52.39727	7357.6	51.07642	11241.8	38.84097	3094.0	5.51	1558.0	5.84
2700	7621.7	54.14389	7097.7	50.61436	11583.8	40.34237	3377.0	5.46	1701.0	5.91
2720	7273.9	53.67382	7193.9	52.64747	11835.7	40.40856	3020.0	5.52	1573.0	5.83
2740	7728.9	57.42149	7121.7	51.10775	11452.7	38.24526	3261.0	5.55	1336.0	6.20
2760	7781.8	56.15766	7369.2	48.08019	11151.7	37.68970	3409.0	5.32	1437.0	6.10
2780	7923.1	59.96213	7173.6	50.29034	11206.8	39.15542	3475.0	5.59	1262.0	6.49
2800	7658.8	55.37058	7073.7	50.15099	11570.8	40.97076	3177.0	5.42	1274.0	5.99
2820	7453.8	53.93734	7009.8	50.97419	11839.9	42.27463	3053.0	5.37	1320.0	5.81
2840	7404.0	55.99549	7129.6	49.98674	11769.8	40.97771	3081.0	5.38	1269.0	5.98
2860	7402.2	57.28257	7429.4	50.51148	11471.7	39.15600	2973.0	5.51	1363.0	6.14
2880	7431.1	57.10071	7443.3	49.60912	11428.6	37.57131	2957.0	5.47	1299.0	6.15
2900	7587.1	57.82568	7239.3	47.71639	11476.7	39.00845	3309.0	5.29	1262.0	6.16
2920	7365.5	60.00694	7286.2	47.62455	11651.7	39.72303	3318.0	5.32	1313.0	6.31
2940	7936.9	58.65850	7068.9	52.39474	11297.8	39.30443	3417.0	5.73	1357.0	6.39
2960	7938.7	56.94138	6881.8	49.94199	11482.7	38.86637	3445.0	5.44	1194.0	6.13
2980	7979.7	57.27460	6951.6	49.08955	11371.8	40.42823	3506.0	5.39	1192.0	6.15
3000	7854.8	56.76266	7256.3	47.71024	11191.7	38.31398	3623.0	5.33	1517.0	6.15
3020	7697.5	62.60657	7113.6	49.47018	11492.7	38.98833	3777.0	5.54	1491.0	6.58
3040	7967.9	58.52562	7210.1	46.28403	11124.8	38.62178	3651.0	5.27	1357.0	6.29
3060	8033.8	58.53159	6912.6	48.20965	11356.8	39.15053	3873.0	5.36	1446.0	6.25
3080	8076.8	58.78783	7064.6	49.21711	11161.6	36.11793	3775.0	5.48	1498.0	6.35
3100	7825.1	59.65898	7257.4	48.71279	11220.7	38.57933	3541.0	5.48	1450.0	6.40
3120	7906.8	57.47929	7278.6	50.58609	11117.7	37.71639	3436.0	5.62	1464.0	6.30
3140	7783.9	57.87676	7164.7	50.92968	11354.8	40.01484	3386.0	5.58	1378.0	6.28
3160	7742.9	57.17689	7175.2	47.03283	11384.7	38.77970	3464.0	5.20	1263.0	6.09
3180	7745.0	57.70976	7036.6	49.65368	11521.8	40.86853	3448.0	5.43	1262.0	6.17
3200	7845.1	59.77615	7131.5	49.31565	11326.8	38.99667	3548.0	5.51	1324.0	6.39
3220	7974.9	58.44983	6916.0	51.78095	11412.8	40.05073	3409.0	5.64	1202.0	6.31
3240	7881.8	57.23258	7165.5	49.17838	11255.8	39.15836	3409.0	5.44	1250.0	6.22
3260	7565.1	57.47872	7206.5	49.97484	11531.8	40.54346	3071.0	5.48	1141.0	6.19
3280	7507.2	58.52692	7053.3	46.90572	11742.7	39.67463	3451.0	5.15	1194.0	6.10
3300	7540.1	57.23541	7113.6	50.08288	11649.8	40.39266	3165.0	5.47	1137.0	6.18
3320	7610.2	58.72189	7089.9	51.91586	11603.7	38.75109	3191.0	5.62	1257.0	6.28
3340	7442.6	52.56138	7527.0	46.62845	11332.9	40.55571	2919.0	5.16	1436.0	5.72
3360	7378.9	54.17617	7205.8	52.43833	11718.7	38.95424	3078.0	5.55	1672.0	5.88
3380	7472.7	53.21368	7048.9	51.85331	11781.8	40.55878	3296.0	5.49	1766.0	5.79
3400	7633.5	52.27655	6986.7	49.88858	11682.8	41.08412	3354.0	5.30	1631.0	5.69
3420	7734.9	56.85065	6877.8	50.29576	11690.7	39.86095	3307.0	5.43	1149.0	6.10
3440	7858.0	58.95965	6898.9	51.16358	11546.7	38.34792	3509.0	5.56	1318.0	6.29
