Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
20	7705.5	52.91197	8150.9	69.93572	14332.6	46.84523	3955.0	6.53	3625.0	5.84
40	7898.4	52.85845	8458.3	66.35068	13831.6	45.03276	4141.0	6.40	3676.0	5.91
60	7673.6	53.81616	8571.4	68.17332	13943.5	44.18932	3960.0	6.52	3704.0	5.99
80	7713.4	52.10231	9054.2	69.95944	13420.5	42.15914	3803.0	6.74	3952.0	5.99
100	7599.4	51.20182	8656.3	68.08082	13932.6	46.12547	3801.0	6.46	3838.0	5.77
120	7732.2	50.15602	8505.2	65.86224	13950.7	47.21064	4026.0	6.27	3866.0	5.61
140	7444.4	50.09218	8357.7	69.95210	14386.7	47.86182	4032.0	6.46	4160.0	5.60
160	7710.1	49.64844	8659.4	69.32162	13818.7	46.84678	4164.0	6.53	4313.0	5.66
180	7775.1	49.15470	8453.3	66.94611	13959.7	46.74572	4326.0	6.32	4276.0	5.55
200	7572.3	49.99528	8212.7	68.70650	14403.7	48.83579	4528.0	6.35	4412.0	5.56
220	7581.2	49.32886	8561.6	70.56664	14045.7	46.79731	4314.0	6.58	4545.0	5.65
240	7897.9	48.85689	8342.5	67.41791	13947.6	45.33702	4727.0	6.36	4510.0	5.56
260	8079.8	48.87307	8133.7	68.18658	13974.7	46.35702	4824.0	6.40	4385.0	5.57
280	7779.9	47.79253	8281.8	70.17521	14126.6	46.04594	4860.0	6.48	4928.0	5.47
300	7839.8	46.72022	8183.7	68.33466	14164.9	51.71640	4561.0	6.28	4547.0	5.32
320	7823.9	47.85569	7901.0	69.25019	14463.8	51.52237	4738.0	6.31	4444.0	5.42
340	7734.0	48.28892	8156.9	70.47227	14297.7	47.72422	4514.0	6.46	4507.0	5.49
360	7718.7	45.75232	8227.7	68.54621	14241.8	50.22678	4283.0	6.27	4372.0	5.25
380	7583.9	46.70404	8316.0	72.38946	14288.7	48.73771	4230.0	6.57	4589.0	5.39
400	7200.4	48.29606	8379.6	69.38002	14608.7	48.49268	4282.0	6.32	4720.0	5.39
420	7169.1	45.64820	8133.9	70.63225	14885.6	49.03520	4229.0	6.27	4769.0	5.13
440	7337.9	45.27263	8026.2	72.34890	14824.7	50.34939	4151.0	6.38	4621.0	5.17
460	7436.9	45.80892	7961.3	72.65694	14790.6	48.13232	3944.0	6.42	4328.0	5.22
480	7791.7	46.27588	7806.4	72.41843	14590.8	50.47451	3972.0	6.47	4009.0	5.30
500	7890.6	45.60294	7925.4	73.64188	14372.7	48.84700	4208.0	6.58	4237.0	5.32
520	7419.8	44.66556	8405.7	70.20544	14362.6	46.18299	3972.0	6.33	4555.0	5.16
540	7286.1	46.61710	8585.6	70.73531	14316.7	48.48379	4101.0	6.44	4722.0	5.34
