Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
513020	8066.5	55.38751	6750.1	76.54803	16536.7	54.90964	9169.0	6.69	8289.0	5.84
513040	7870.0	58.63505	6632.9	73.78921	16850.6	55.59034	9160.0	6.55	8025.0	5.98
513060	8119.7	57.51512	6501.0	73.36461	16732.6	54.38078	9174.0	6.49	7794.0	5.91
513080	8052.7	57.10531	6969.1	70.98231	16330.7	55.71135	9034.0	6.42	7891.0	5.90
513100	8112.5	56.15383	6880.7	75.00947	16359.7	54.89167	8720.0	6.63	7702.0	5.90
513120	8347.0	52.20607	6713.9	75.13001	16291.7	54.48870	8233.0	6.57	7259.0	5.61
513140	7967.6	55.44147	6564.2	75.81847	16821.7	56.39288	8658.0	6.59	7664.0	5.80
513160	8105.6	56.51479	6616.1	75.56032	16631.6	54.89409	8891.0	6.65	7794.0	5.89
513180	8154.3	54.15175	6823.8	75.06576	16374.8	56.44771	8682.0	6.63	7768.0	5.76
513200	7793.7	55.49522	6830.1	77.32999	16729.7	55.91912	8615.0	6.74	7955.0	5.85
513220	7728.5	53.57286	6920.5	73.53574	16703.7	57.35461	8888.0	6.44	8223.0	5.62
513240	7449.0	55.67464	6877.7	74.58481	17026.7	57.64118	8828.0	6.50	8171.0	5.73
513260	7632.6	53.18896	7122.2	72.81488	16597.7	56.18218	8255.0	6.38	7708.0	5.58
513280	7851.7	55.83676	7019.5	74.47270	16481.7	55.39310	8226.0	6.58	7430.0	5.87
513300	7952.1	50.96971	7011.5	74.33386	16388.6	54.22484	8053.0	6.46	7530.0	5.49
513320	7509.7	53.22389	6792.6	81.95586	17051.7	56.50961	7925.0	6.93	7730.0	5.71
513340	7161.0	54.13570	7031.5	75.17331	17160.7	58.59566	7852.0	6.47	7656.0	5.61
513360	7488.4	50.50410	6997.8	77.35521	16866.7	57.91590	7557.0	6.55	7610.0	5.39
513380	7081.5	48.51707	6829.5	81.47713	17442.8	60.12910	7372.0	6.66	7884.0	5.21
513400	7675.0	47.93724	6688.3	77.36490	16989.7	57.84696	7596.0	6.45	7445.0	5.17
513420	7421.3	48.87509	6464.1	81.51030	17468.7	58.00333	7613.0	6.71	7734.0	5.30
513440	7254.6	51.05537	6761.6	81.25889	17337.7	57.47755	7524.0	6.76	7708.0	5.45
513460	6693.9	49.74229	7258.6	78.36973	17400.7	59.37727	7615.0	6.55	8365.0	5.27
513480	6448.1	49.33795	7202.0	81.15452	17703.7	60.17673	7764.0	6.63	8709.0	5.24
513500	6621.5	45.30680	7081.1	80.24277	17650.8	61.29814	7464.0	6.46	8573.0	4.90
513520	6614.6	46.39301	6990.2	80.41264	17748.8	61.61335	7594.0	6.51	8617.0	5.00
513540	6811.4	45.78801	6776.0	84.40635	17766.7	59.14814	7382.0	6.69	8273.0	5.01
513560	6938.5	47.89041	7076.5	83.83187	17338.8	60.02211	7572.0	6.82	8364.0	5.22
513580	7062.4	47.64475	7084.6	84.97042	17206.6	56.48994	7682.0	6.96	8579.0	5.26
513600	7340.1	47.11208	6938.8	84.71011	17074.6	56.27847	7473.0	6.94	8166.0	5.23
513620	7189.0	44.99159	6980.7	84.94095	17183.6	54.94193	7551.0	6.90	8507.0	5.04
513640	7027.6	49.02949	6944.8	84.74310	17381.7	59.52720	7761.0	6.94	8448.0	5.33
513660	6757.0	50.46705	7370.4	77.60715	17225.8	59.73396	7765.0	6.52	8367.0	5.31
513680	6790.3	53.84838	6828.5	80.95888	17735.8	61.03839	8364.0	6.74	8650.0	5.58
513700	7410.4	50.47192	6748.9	75.48693	17193.8	59.67902	8352.0	6.38	8123.0	5.31
513720	7776.4	52.38685	6901.6	74.65187	16674.7	56.35259	8318.0	6.50	7737.0	5.54
513740	7780.1	49.55832	7065.4	73.83116	16506.8	57.61943	7980.0	6.40	7623.0	5.37
513760	7359.4	50.03077	6915.8	76.52670	17077.8	60.10914	8305.0	6.47	8216.0	5.31
513780	7310.5	50.53465	6808.1	77.29782	17234.8	59.99427	8273.0	6.53	8343.0	5.37
513800	7113.0	44.46902	7242.5	76.61663	16996.7	57.90179	7653.0	6.37	8466.0	4.89
513820	6975.1	44.84352	7354.1	83.68200	17023.8	60.11182	7610.0	6.81	8806.0	5.02
513840	7139.0	44.93559	7409.6	79.90363	16803.8	59.17384	7362.0	6.64	8405.0	5.01
513860	7010.4	47.59330	7519.8	82.41918	16822.9	60.12656	7213.0	6.85	8230.0	5.26
513880	7310.2	47.84393	7539.4	79.26522	16502.7	54.78864	7432.0	6.73	8185.0	5.27
513900	6964.6	49.07211	7358.8	80.90647	17029.7	57.22826	7848.0	6.75	8575.0	5.32
513920	7082.5	48.42414	7604.5	80.64106	16665.7	55.27606	7878.0	6.79	8699.0	5.34
513940	6937.2	53.35879	7497.8	82.89330	16918.6	54.93711	8025.0	7.06	8588.0	5.73
513960	7181.2	55.50454	7403.5	79.13378	16768.6	54.44206	8431.0	6.89	8521.0	5.84
513980	6969.7	58.53800	7526.5	80.31481	16857.7	56.52794	8679.0	6.97	8793.0	6.07
514000	7358.1	55.93920	7440.0	74.42970	16554.8	58.20704	8859.0	6.59	8686.0	5.83
514020	7230.9	53.45247	7276.5	77.15545	16845.7	55.87948	9207.0	6.67	9252.0	5.61
514040	6939.1	52.92534	7203.1	82.22245	17211.6	56.89815	8862.0	6.93	9252.0	5.64
514060	7147.9	52.85701	7257.8	80.18990	16947.6	55.48746	8960.0	6.82	9210.0	5.65
514080	6981.8	50.42129	7399.9	82.11886	16971.6	55.31031	8595.0	6.87	9280.0	5.46
514100	7512.7	53.97743	7215.9	80.27991	16624.8	57.45920	8880.0	6.94	8735.0	5.79
514120	7434.5	50.76331	7178.6	77.60461	16739.6	54.50766	8551.0	6.62	8602.0	5.45
514140	7135.0	53.57104	7115.1	81.40114	17103.7	56.70392	8370.0	6.91	8642.0	5.68
514160	7146.9	53.00062	7567.0	84.91575	16639.7	55.24463	8085.0	7.23	8715.0	5.78
514180	7113.7	50.39067	7393.9	82.02492	16845.8	58.29943	8303.0	6.88	8928.0	5.46
514200	7435.6	52.10565	6696.6	80.02747	17221.7	57.89901	9036.0	6.73	8954.0	5.52
514220	7027.6	48.80922	7265.6	78.32793	17059.7	58.48557	8246.0	6.60	8898.0	5.26
514240	7100.7	50.50722	7185.6	77.37720	17066.7	57.57877	8112.0	6.49	8288.0	5.34
514260	7023.7	49.83852	6988.9	77.97071	17340.7	58.18290	7931.0	6.52	8367.0	5.26
514280	7150.7	51.41309	7132.9	79.56150	17069.7	58.42613	8648.0	6.71	8791.0	5.49
514300	7353.7	52.26772	7114.0	80.47893	16885.8	58.98007	8654.0	6.79	8760.0	5.60
514320	7221.6	50.28830	7202.1	81.76242	16929.8	58.56211	8503.0	6.87	8938.0	5.47
514340	7228.4	49.10018	7367.5	78.13183	16756.7	56.75874	8274.0	6.62	8765.0	5.32
514360	7056.2	46.19754	7466.9	83.40854	16829.6	55.02076	7551.0	6.88	8633.0	5.17
514380	7652.1	48.92678	7488.4	88.24277	16212.7	54.07198	8149.0	7.43	8806.0	5.59
514400	7445.8	44.33028	7268.3	84.52156	16638.6	53.84830	8318.0	6.93	9356.0	5.04
514420	7605.8	45.48450	7155.3	83.05496	16591.7	56.05539	8011.0	6.90	8572.0	5.15
514440	7240.9	44.11714	6951.8	85.15902	17160.7	57.94578	8155.0	6.85	9109.0	4.98
514460	6842.5	46.74453	7005.1	88.30710	17506.7	59.97704	8038.0	7.07	9305.0	5.17
514480	6882.2	45.08126	7093.2	90.44390	17378.7	58.29178	7561.0	7.22	9106.0	5.10
514500	6560.7	46.61794	7367.0	92.20805	17426.6	57.22526	8005.0	7.31	9680.0	5.23
514520	7098.0	44.72483	7381.4	87.01749	16873.8	58.33056	8263.0	7.03	9602.0	5.08
514540	7498.8	45.20870	7622.8	83.94251	16230.7	54.61744	8481.0	7.00	9454.0	5.16
514560	7567.9	46.71874	7555.8	83.61628	16228.7	55.37256	8810.0	7.06	9644.0	5.31
514580	7507.1	48.25036	7648.9	85.37209	16196.7	53.87446	8801.0	7.23	9524.0	5.50
514600	7337.2	47.87164	7870.5	83.61650	16144.6	53.49296	8693.0	7.12	9608.0	5.41
514620	7753.0	48.70953	7684.0	86.19602	15915.7	53.02909	9183.0	7.40	9847.0	5.59
514640	7860.9	48.43254	7532.9	84.25065	15958.6	50.89277	9338.0	7.21	9707.0	5.53
514660	7634.0	47.26682	7724.3	89.57940	15994.6	51.50112	8636.0	7.53	9640.0	5.50
514680	7387.0	46.61584	7790.0	87.24820	16175.5	51.31322	9209.0	7.31	10214.0	5.40
514700	7168.1	45.28784	7548.3	88.12339	16636.6	54.95473	9033.0	7.22	10181.0	5.23
514720	7291.9	44.89867	7532.7	91.75840	16528.7	55.18046	8864.0	7.45	10290.0	5.24
514740	7373.7	43.72586	7271.0	91.28707	16708.6	54.44246	8573.0	7.33	9886.0	5.09
514760	7215.2	46.59299	7665.9	94.58174	16472.6	54.33742	8401.0	7.69	9889.0	5.42
514780	7120.2	46.55678	8027.7	87.79008	16204.7	55.32110	8160.0	7.33	9606.0	5.38
514800	7123.1	45.38198	7832.8	86.01108	16396.8	56.52118	8363.0	7.11	9782.0	5.19
514820	6847.3	45.60442	7742.0	87.49474	16763.6	55.02221	8022.0	7.17	9526.0	5.21
